,job_title,company,job_location,job_summary,post_date,today,job_salary,company_id,job_requirement,eligibility,experience_req
1137,Urban Data Analyst,National Institute of Urban Affairs,"New Delhi, Delhi","Develop custom data models and algorithms to apply to data sets.,Assess the effectiveness and accuracy of new data sources and data gathering techniques.",Posted5 days ago,2022-07-26,,1138,"- Arrange for receipt of all UMCOR  Armenia shipments from domestic and
foreign locations. This includes preparation of necessary documents,
application and receipt of necessary licenses and certificates of
quality, customs clearance, and delivery of goods into the UMCOR
warehouses. 
- Create all reports, inventory forms and other related warehouse
matters in English. 
- Preparation of warehouse contracts.
- Maintain accurate and up-to-date records of receipt, inventory, and
shipment of warehouse goods. 
- Coordinate the dispatch of warehouse goods to designated destinations
prepared by UMCOR staff according to the established warehouse control
procedures. 
- Submit monthly reports to the senior management.",Armenian nationals,2 Years Job Exp.
1138,Big Data Analyst,Royal Enfield,"Gurgaon, Haryana","Analyze data for trends and patterns, and Interpret data with a clear objective in mind.,Devise and utilize algorithms and models to mine big data stores,…",Posted30+ days ago,2022-07-26,,1139,"The incumbent will design and supervise the
implementation of:
- Sanitary and  storm sewer systems
- Potable and irrigation water systems 
- Manage all existing underground services
- Respond to all cadastre related issues
- Be proficient in and do all necessary land survey requirements
- Other related duties as necessary",Armenian nationals,2 Years Job Exp.
1139,Data protection Analyst,Smart Work Consultants,"Bengaluru, Karnataka","The main duties of the role will be to: Monitor incoming queries and requests associated with data subjects, data privacy and general data usage; Maintain…",Posted7 days ago,2022-07-26,"₹4,00,000 - ₹7,00,000 a year",1140,"To participate in WV Armenia Health strategy
development and provide operational management to health programs in the
areas of Mother and Child Health, Public Health Education and Nutrition
and HIV/AIDS prevention including overseeing of design, implementation
and evaluation. Provide technical support to the implementation of the
Public Health Education and Nutrition aspects of the Mobile Medical Team
Project.
The Manager will serve as a key liaison between the WV Armenia health
program, partner organizations and donors.",Everyone,2 Years Job Exp.
1141,Data Analyst,Eccentric Engine,Remote,"Acquire data from primary or secondary data sources and maintain a database system.,Identify process improvements to streamline data collection and report…",Posted30+ days ago,2022-07-26,,1142,"- Handle monthly reconciliations of the specified bank accounts.
- Liaise with International and Support offices in regard to
reconciliations.
- Assist the Senior Accountant in preparation/extraction of monthly
financial accounts, including computer data entry, preparation of
support schedules, etc.
- Prepare regular entries to the journal.
- Approve coding on all vouchers prepared by staff for valid
account/cost renter/donor combinations and advise necessary adjustments
to originator.
- Research expenditure variances and prepare correcting journals as
required.
- Prepare regular internal accounting reports for management within
Finance.
- Assist in the preparation of budgets.
- Supervise the work of accounting clerks.
- Handle complex accounts payable/expenditure accounts.",Open to all qualified candidates,2 Years Job Exp.
1142,Data Analyst Intern,OPK eServices,"Gurgaon, Haryana","Excellent communication and data presentation skills.,Do data analyses and statistical techniques to develop solutions to get meaningful information of data to…",Posted30+ days ago,2022-07-26,,1143,"- Establish, maintain, update and overall process all correspondence,
information and other documentation.
- Provide general administrative services to Armobil Director,
including, but not limited to, typing and word processing, spreadsheet
design and other administrative duties.
- Type and print documents in English and Armenian as necessary; 
- Translate documents from/to English and Armenian as necessary;
- Work with Internet and process E-mail messages.
- Provide telephone and receptionist services.
- Answer and screen incoming telephone calls.  
- Receive and assist all visitors.
- Maintain Directors calendar and schedule appointments as needed.  
- Receive and control incoming correspondence.  
- File materials and maintain the office filing system.  
- Other duties as assigned.",Everyone,2 Years Job Exp.
1146,"Data Analyst - Gurgaon, HR",Optum,"Gurgaon, Haryana+2 locations","Strong analytical expertise: data analysis, statistical analysis, data manipulation, data extraction and reporting.,Working Experience with Azure Snowflake.",Posted14 days ago,2022-07-26,,1147,"The training should contain the following core
elements:
- Detailed knowledge and understanding of social security legislation
(relevant laws and government decrees)
- Development of skills in customer service (what is service, types,
basic elements)
- Development of skills in clients reception, information provision,
customers complaints and appeals, customers rights and
responsibilities
- Development of skills in social partnership (what is social
partnership, conditions, principles, types and examples)
- Detailed knowledge of social assistance programs implemented in
Armenia nowadays (state and non-state level)",All qualified candidates,2 Years Job Exp.
1148,Data Analyst,RPA Infotech,"Gurgaon, Haryana","Must have a passion for data, structured or unstructured.,High-level proficiency with SQL based query languages and relational data concepts.",Posted30+ days ago,2022-07-26,,1149,"To manage the work of the club-restaurante on a
high level.",Everyone,2 Years Job Exp.
1151,Analytics - Data & Visualisation Analyst,Lenskart,"Delhi, Delhi","Manipulate, cleanse and interpret data from multiple data sources, required.,Assist with performance tuning of dashboards, background data queries as needed.",Posted30+ days ago,2022-07-26,,1152,"- To fill in the data base, 
- To realise routine work for the agency",All qualified candidates,2 Years Job Exp.
1152,Data Analyst,ITC Infotech India Ltd,"Bengaluru, Karnataka","Experience in optimizing insertions of large amounts of data.,Experience in Mongo DB & No Sql (experience working on Unstructured data).",Posted25 days ago,2022-07-26,,1153,To prepare Italian and European food,Everyone,2 Years Job Exp.
1153,Data Analyst Trainer,TECHOLAS TECHNOLOGIES,"Ernakulam, Kerala","Flexible to both online and offline classes.,Ernakulam, Ernakulam - 682025, Kerala: Reliably commute or planning to relocate before starting work (Required).",Posted3 days ago,2022-07-26,"₹15,000 - ₹18,000 a month",1154,"Interpretation and translation, oral and written
(English, Armenian, Russian)","Representatives of non-governmental
organizations from Armenia, Azerbaijan, and Georgia with activities in
the sphere of environmental protection and water resource management are
invited to submit letters of interest.",2 Years Job Exp.
1156,Business Analyst,IBM,"Bengaluru, Karnataka","Comfortable/proficient manipulating both financial data and large raw data sets.,Ability to analyze and validate data sets with consistent accuracy to identify…",Posted5 days ago,2022-07-26,,1157,"- Depend on his/her knowledge in the marketing and economics in
general.
- Assist the Marketing Manager in researches and marketing activities.
- Help to create, maintain and update files in web databases.
- Participate in process of develop writing skills and knowledge of
specific markets.
- Coordinate content development and maintain marketing reports.
- Intern may be assigned other clerical duties (answering phones,
filing, copying, etc.) as needed.
- Report directly to the Marketing Manager.","Representatives of non-governmental
organizations from Armenia, Azerbaijan, and Georgia with activities in
the sphere of environmental protection and water resource management are
invited to submit letters of interest.",2 Years Job Exp.
1157,Data Analyst,CRISIL LIMITED,"Bengaluru, Karnataka+1 location","Good understanding of SQL and data analysis.,Ability to derive insights from huge volumes of data.,Year of Exp 3*-8 years.",EmployerActive 5 days ago,2022-07-26,,1158,"- Prepare bidding documentation, conduct relevant shopping procedures
- Negotiate terms and conditions of commodities procurement in line with
standards set by the donor and World Vision. 
- Manage all commodity movements, including transportation, secure
warehousing, inventories, delivery, distribution, and end use according
to the standards set by the donor.
- Locate and negotiate terms for adequate warehousing with security.
- Ensure appropriate documentation and reports on commodity movements
and problems encountered and their resolution.
- Represent World Vision to local and regional government officials,
shipping, trucking and airlift companies, and partner representatives in
a positive and professional manner.",Applicants from Armenia or CIS,2 Years Job Exp.
1158,Data Analyst,Cognizant Technology Solutions India Pvt Ltd,"Pune, Maharashtra",Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity…,Posted30+ days ago,2022-07-26,,1159,"- Deploy, develop and maintain the website for management and exchange
of product informations.
- Programming in HTML and using PHP scripts/programs with MySQL.
- Maintaining security of the website, developing and implementing an
access control system enforcing different levels of access.",Applicants from Armenia or CIS,2 Years Job Exp.
1159,Graduate Engineer Trainee - Data Analyst,RBHU ETG Private Limited,"Navi Mumbai, Maharashtra","Create data governance policies like RLS to manage data security.,Python/R for data science.,Access data stored in databases/warehouses/flat files.",Posted3 days ago,2022-07-26,"₹4,00,000 - ₹6,14,481 a year",1160,"High level translation or interpretation from
English into Armenian and vise versa.",Applicants from Armenia or CIS,2 Years Job Exp.
1161,Business Intelligence Analyst,SafeGuard Global,Remote,"Analyse and understand requests for data sets; create, test and deliver these data sets to consumers as required.,Provide a high standard of customer care.",Posted11 days ago,2022-07-26,,1162,"- Organize and coordinate the activities of the IWC.
- welcome visitors and guests of the Center.
- Assist the Program Manager in developing corresponding materials for
dissemination.
- translate and type trafficking related material.
- Make research in Internet to find trafficking related issues.
- Write down the minutes of weekly Staff meetings.
- Coordinate the work of consultants/legal adviser and the psychologist
- Make appointments and organize workshops with beneficiaries/potential
victims.
- Maintain detailed records about Center activities
- Communicate with other NGOs and International Organizations dealing
with the problem of trafficking
- Assist the PM in organizing the workshops.
- Assist the PM in organizing round-tables with local authorities and
NGOs
- Maintain precise filing of the project.
- Assist the Center staff in different phases of the project
implementation
- Carry out other assignments required by PM or AC director.
- Monitor the attendance of Center staff.",All eligible candidates,2 Years Job Exp.
1162,Sustainability Analyst,Rystad Energy,"Bengaluru, Karnataka","Analytical and solid experience within data management/handling.,Research, gather, clean and analyze data related to oil and gas emissions product portfolio.",Posted2 days ago,2022-07-26,,1163,"1) Publicity/Program activities:
- Organize country-wide Internet conferences/thematic web chats 
- Draft and/or supervise various sub-projects (Volunteer and Intern
Programs, interaction with Peace Corps Volunteers and local NGOs, user
surveys, etc.)
- Prepare weekly program news for submission to regional management and
US Department of State
- Prepare weekly news briefs (in English and Armenian) for the local
program website
- Support TC and CC with distance learning project as needed 
2) Administration:
- Process weekly and monthly site reports and produce regular feedback
to the staff
- Assist IATP Country Coordinator in writing country reports
- Distribute various administrative/program announcements to field
staff
- Answer various field requests or forward them to the appropriate
manager
Other duties as assigned.",All interested candidates,2 Years Job Exp.
1163,Data Analyst Power bi with Python,Intellecto Global Services,"Remote in Chennai, Tamil Nadu","O Good to have : Working knowledge of data warehousing infra tools like Hive.,O Attention to detail and strong data orientationo Ability to adapt to and learn…",Hiring ongoing,2022-07-26,"₹25,000 - ₹28,000 a month",1164,"- Provides high-level secretarial and administrative support to the
Director on a variety of confidential and important activities. 
- Maintain Director's calendar, establishing priorities at own
discretion. Arranging meetings, invitations, engagements and other
appointments on behalf of the Director.
- Makes all arrangements for Director's travel.
- Drafts letters for the Director's review, proof-reads and checks
documents for the Director and handles special requests and projects as
required.
- Types/transcribes letters/reports/faxes, etc.
- Maintain comprehensive filing system to ensure instant retrieval of
documents.
- Screens telephone calls for the Director, handles queries where
possible or where appropriate.
- Makes appropriate arrangements and processing for the letters, papers,
and documents incoming to and outgoing from the Director's office.
- Forward documents to the staff of the Director's office, to ensure
deadlines are met.
- Performs other duties as assigned.",All eligible candidates,2 Years Job Exp.
1164,Data Analyst,AlphaExpression Technologies,"Pattom, Thiruvananthapuram, Kerala","Study and convert functional requirements into technical tasks.,Analyse, calculate and provide estimates.,Ensure the product meets the requirements.",Posted30+ days ago,2022-07-26,,1165,"- Finding new partners. 
- Keeping relations with old partners. 
- Signing contracts and organizing the transportation till final
destination. 
- Other job related duties.",All eligible candidates,2 Years Job Exp.
1165,BI Data Analyst,Logitech,"Chennai, Tamil Nadu","The data analyst is responsible for collecting and analyzing internal & external data for reporting.,Defining new data collection processes and analysis on data…",Posted30+ days ago,2022-07-26,,1166,"The position is starting in August 2004 and is based in World Vision
Armenia' National office, Yerevan with extensive countrywide travel. 
-	Coordination and obtaining of MMT related guides and protocols.
-	Development, pre-testing and applying of new training materials,
strategies and plans for increasing and promoting overall program
effectiveness and efficiency.
-	Supporting the MMT Manager in  the implementation of program
activities in assigned sites. 
-	Providing technical monitoring for respective MMT activities and
developing technical reports.
-	Liaising between MMT field staff, local partners field staff, target
beneficiaries and WV Armenia National Office staff involved in the
program implementation, management and oversight. 
-	Coordination and facilitation of data collection, analysis and
management.
-	Fostering working relationship with local and national health
authorities, NGOs, medical community, stakeholders and other
counterparts related to the field of Primary Health Care.",All eligible candidates.,2 Years Job Exp.
1166,Research Analyst,ITP Software India Pvt. Ltd,"Hyderabad, Telangana","Collecting data from sources such as public opinion surveys and election results 3.,As a researcher you should be able to study the development of political…",Posted3 days ago,2022-07-26,"₹25,000 - ₹50,000 a month",1167,"- Participate in preparation of TORs, RFAs and other documents
throughout the project duration.
- In collaboration with Team Leader develop program plans in accordance
with the program objectives and activities. Develop detailed Work Plan
for all periods of implementation.
- Participate in preparatory activities relating to selection of program
partners and sub-recipients. Advise sub-recipients on capacity building
and relevant activities requirement. 
- Collaborate with stakeholders during an overall program level data
collection and analysis; plan and analyze indicators at different levels
of M&E.
- Develop and sustain the appropriate protocols and procedures for
monitoring of beneficiaries feedback on program effectiveness and
responsiveness. Prepare recommendations for the program stakeholders.
- Participate in reviewing overall national program progress with
particular reference to GFATM program goals, objectives and program
sustainability.
- Monitor the coherency of treatment protocols for people living with
HIV/AIDS according with international standards
- Develop approaches for integrating HIV/AIDS, STI and reproductive
health into universal health services model aimed at program
sustainability. 
- Promote cooperation and collaboration with the program stakeholders
through conferences, workshops, round tables, newsletters etc. Promote
the program in the community through various communication means
including mass media.",All eligible candidates.,2 Years Job Exp.
1168,Junior Analyst,GfK,"Gurgaon, Haryana","To meet the agreed daily/weekly/monthly targets and deadlines.,To meet or exceed productivity benchmarks for Junior Analyst’s targets.",Posted6 days ago,2022-07-26,,1169,"- To get acquainted with local and international tire and rubber goods
market.
- To represent the correspondent product to the local and international
market.
- To participate in different kinds of expositions.
- To search partners and be in contacts with the representatives of 
international similar organizations.
- To perform other duties as assigned.",All qualified candidates.,2 Years Job Exp.
1169,Data Analyst,Relevance Lab,"Remote in Bengaluru, Karnataka","Must be experienced with large volume data analysis.,Gather requirements & create the data pipeline which will be used by Tableau Developer.",Posted30+ days ago,2022-07-26,,1170,"- Making arrangement with companies and individuals
- Conducting interviews in Armenian
- Translating and interpreting the meetings, when it is required,
- Maintaining the Survey database
- Supporting with final analysis and report writing",All eligible candidates,2 Years Job Exp.
1170,MIS Data Analyst,Vantage Circle,"Guwahati, Assam","Maintain a thorough understanding of data and information resources.,Perform data analysis for generating reports on a periodic basis.",Posted11 days ago,2022-07-26,,1171,"- Manage administrative procedures and policies related to program
participants and project implementation. 
- Manages the daily operations and administration of the program; 
- Assign work responsibilities and tasks to AC members of staff working
for the program, and monitor their performances.
- Supervise and coordinate the program activities and be responsible for
the development, implementation and monitoring of the program.
- Generate regular narrative and/or fiscal reports for AC administration
and project funders.
- Report on weekly bases to AC Executive Director and report him/her
each time a serious problem of any nature raises.   
- Support and assist staff members in decision making and program
implementation.
- Develop, among staff members, the concept of ""team building"". Help the
staff members to work together and take advantage of each other
expertise.
- Authorize/delegate and supervise all expenditures and financial
operations related to the program.
- Collaborate and support AC Senior Staff in studying and elaborating
new projects proposals and implementing the Strategic Plan.
- Plan and organize the participation of program staff members in
training sessions and workshops.","All persons with acceptable education
and skills",2 Years Job Exp.
1172,Analyst-Online Ops and Resolution,Lowe's,"Remote in Bengaluru, Karnataka","The Data & Analytics teams help make data-driven decisions in merchandising, store operations, finance, and supply chain.,3+ years of work experience.",Posted6 days ago,2022-07-26,,1173,"- Managing web hosting servers on daily bases
- Create detailed specifications of web hosting services
- Create user friendly specifications for web hosting customers
- Handle web hosting customers phone calls, answer customers in polite
and gentle manner
- Periodically report to management on various statistics and new system
needs
- Research web hosting innovations and market needs local and worldwide",Armenian professionals.,2 Years Job Exp.
1173,Data and Infrastructure Analyst,Bechtel,Andaman and Nicobar Islands,"Large scale data entry from various source media.,Entering data into a Geographic Information System (GIS) environment.",Posted30+ days ago,2022-07-26,,1174,"- answering phone calls and e-mails in detailed and proper manner
- handling technical and non technical enquiries, coordinate the
technical issues with technical department for further assistance
- demonstrating time management skills to prioritize  various tasks and
complete the routine tasks at high level 
- ensuring the customer is properly briefed on available services,
making customer requirements surveys if required
- working in a team on your own initiative, demonstrating strong
communication skills",Armenian Professionals,2 Years Job Exp.
1176,Data Analyst,Sri Renga Global,"Tiruchchirappalli, Tamil Nadu",Skill : knowledge in system and ms office.,Posted4 days ago,2022-07-26,"₹5,000 - ₹6,000 a month",1177,"Update the news section on a daily basis on 2
languages - Russian and English (about 5-8 small news articles per day),
and ensure appropriate translation.",Armenian professionals,2 Years Job Exp.
1177,Data Analyst,Futurism,"Pune, Maharashtra","Performs regular backups to ensure data preservation.,Any data scraping tools knowledge will add an advantage.,Strong written and verbal communication skills.",Posted7 days ago,2022-07-26,,1178,"- Create and maintain efficient working relationships with the Armenian
tourism industry representatives and the Armenian business community
supporting trade show activities
- Ensure transparent announcement and application process for Armenias
participation at international and local trade shows
- Responsible for overall administration of all trade shows and after
show follow ups
- Constant effective communication with trade show participants,
organizers, construction companies, transportation services and other
related parties
- On-site management of exhibit booth and facilitation of problems and
other needs regarding space and the use of the common areas of the
exhibit including insurance, cleaning, set-up and take-down
- Arrangement of participants visa, transportation, accommodation and
other services required for international trade show travel
- Strategic planning and fundraising for further expansion of trade show
activities",All eligible candidates.,2 Years Job Exp.
1180,Data analyst - SQL,Aon Corporation,"Bengaluru, Karnataka",Bachelors or Master Degree or University Degree or equivalent with including 1 to 3 years of relevant experience as a Data Analyst with SQL experience.,Posted30+ days ago,2022-07-26,,1181,"- Managing web hosting servers on daily bases
- Create detailed specifications of web hosting services
- Create user friendly specifications for web hosting customers
- Handle web hosting customers phone calls, answer customers in polite
and gentle manner
- Periodically report to management on various statistics and new system
needs
- Research web hosting innovations and market needs local and worldwide",All qualified candidates,2 Years Job Exp.
1181,BI Analyst,Haven Infoline Pvt Ltd.,"Mumbai, Maharashtra","# Acquire data from primary or secondary data sources and maintain databases/data systems.,# Technical expertise regarding data models, database design…",EmployerActive 4 days ago,2022-07-26,"₹20,000 - ₹30,000 a month",1182,"- Assist Finance Responsible in daily financial activities.
- Use finance software, input and keep invoices received from Field
Administrators.
- Input in accounting software all incomes and outcomes, verify and
encode vouchers received from the fields. 
- Management of cashbox and follow-up of operational and other advances
such as salaries, as well as other monthly payments, according to the
donor requirements and instructions of other departments.
- Prepare and file all the receipts and invoices for the financial
reports.
- Maintain local cash book.
- Filing and archiving of all the financial documentation.",All eligible applicants,2 Years Job Exp.
1182,Data Analyst,Decision Tree,"Gurgaon, Haryana","Perform data research, analysis, and logical data modeling to validate and document the usage of business data artifacts.,Identify and analyze target segments.",Posted30+ days ago,2022-07-26,,1183,"- Oversee daily operations of the access site;
- Schedule the users for open access hours and monitor the sessions of
various types of end-users including USG alumni and other targeted
groups identified by ECA demonstrating the technical and educational
applications of the Internet;
- Assist the Country Coordinator in the development of training
materials and curricula, Internet resources and local language on-line
development;
- Assist the Country Coordinator with collecting and systematizing IATP
user information, special events, success stories, and other statistics
as requested by IREX;
- Assist the Country Coordinator in the development and implementation
of program outreach and related initiatives to foster active
participation in the program by targeted audiences; 
- Assist the Country Coordinator in the oversight of IREX/IATP
initiatives such as web chats, PDO trainings, and publicity and program
news gathering",All eligible candidates.,2 Years Job Exp.
1183,Research Analyst,Alchemy Research and Analytics,"Durgapur, West Bengal","Strong analytical and data gathering ability.,Rapid research - data collation and presentation from databases or Internet search.",EmployerActive 6 days ago,2022-07-26,"₹2,40,000 a year",1184,"-	Assess IT staff and equipment capacities and advise on changes that
need to take place 
-	Together with the IT Manager develop annual capacity building plans of
ongoing IT needs 
-	Prepare training materials and provide trainings for IT staff. Provide
on-the-job training on Lotus Notes, LAN, File Backup & Restore to the
staff. 
-	Improve and upgrade computers, communication (including Radio modem,
Cisco, LAN) and other office equipment as necessary. Keep IT equipment
list and monitoring & evaluation form updated.
-	Installation/Implementation of new computers, acquaintance with and
accurate filing of the technical documentation and warranty
certificates. 
-	Organize warranty and post warranty service for computers when needed.
-	Install/Implement and ensure uninterrupted operation and working
condition of Server in the sites.
-	Plan and create users and groups for giving each of them opportunity
to log on in LAN and have access to necessary sources.
-	Plan and implement the strategy of security for data and virus
infection of LAN sources (including folders, fails and printers).
-	Set up local and network printers (scanners), for giving users access
to the source of printing. Solve the printing routine problems.",Everyone,2 Years Job Exp.
1184,Data Analyst,Varsity Educational Management Pvt. Ltd,"Jubilee Hills, Hyderabad, Telangana","Hope you are doing great and we need urgent candidate for data analyst with good techinical knowledge.,R or Python-Statistical Programming.",EmployerActive 4 days ago,2022-07-26,"₹30,000 a month",1185,"The key elements of the role are full life cycle
product development working in a technically strong team through
requirements gathering, architecture, development and release. The
candidate is required to work closely with the other technical members
of the Lycos Mail team in Yerevan as well as in Paris on new and
challenging projects.",Everyone,2 Years Job Exp.
1185,Data Operations Analyst,Clearstate Pte. Ltd,"Gurgaon, Haryana","The candidate will provide data upload and reporting insights, implementation of activities against data pulls, and help improve the quality of customer data.",Posted12 days ago,2022-07-26,,1186,"The key elements of the role are full life cycle
product development working in a technically strong team through
requirements gathering, architecture, development and release. The
candidate is required to work closely with the other technical members
of the Lycos Mail team in Yerevan as well as in Paris on new and
challenging projects.",All qualified candidates.,2 Years Job Exp.
1187,Senior Data Engineer/BIA Analyst,Danske Bank,"Bengaluru, Karnataka","SQL, SAS, Hadoop, Hive, ETL, Spark, Scala, DataStage.",PostedToday,2022-07-26,,1188,"The key elements of the role are full life cycle
product development working in a technically strong team through
requirements gathering, architecture, development and release. The
candidate is required to work closely with the other technical members
of the Lycos Communities teams.",University students,2 Years Job Exp.
1188,Data Analyst,PipeCandy,"Remote in Chennai, Tamil Nadu",Collaborate and work closely with data quality teams to ensure adherence to data ingestion and data governance standards.,Posted30+ days ago,2022-07-26,,1189,"The key elements of the role are full life cycle
product development working in a technically strong team through
requirements gathering, architecture, development and release. The
candidate is required to work closely with the other technical members
of the Lycos Communities teams.",Everyone,3 Years Job Exp.
1190,Cybersecurity Analyst for Cybersecurity Operations,Siemens,"Pune, Maharashtra","As a Security Analyst, you will.,Monitor and review notable events in Splunk Enterprise Security dashboards.,Resolve false positives and communicate effectively…",Posted6 days ago,2022-07-26,,1191,"- Professional (in the field of veterinary)evaluation of office
documents
- Field trips to farms 
- Communication skills",Everyone,3 Years Job Exp.
1191,Associate Client Data Analyst,FIS Global,"Pune, Maharashtra","Utilizes systems and data to resolve business issues in the most effective and productive manner.,Experienced (relevant combo of work and education).",PostedToday,2022-07-26,,1192,"We expect a successful candidate to be able to 
- design and develop software products,
- create programs for heterogeneous environments (MS Windows, Unix),
communicating by means of network protocols
- author and maintain internal and end-user documentation.",All eligible candidates,3 Years Job Exp.
1192,Data Analyst,BatchService,Remote,"We are looking for an experienced data analyst, preferably with additional data science, machine learning and AI experience.",Posted30+ days ago,2022-07-26,,1193,"Responsibilities include but are not limited to
the following:
- Answer and screen telephone queries with discretion; take notes and
make appointments 
- Greet visitors 
- Register and route all incoming and outgoing mails 
- Draft outgoing correspondence of general and administrative character
- Assist the staff in everyday routine work 
- Send and receive faxes, letters and e-mails 
- Maintain telephone directory 
- Assist in the arrangement of receptions, workshops, training events
and conferences on a range of issues related to Career Center projects.",All eligible candidates.,3 Years Job Exp.
1199,Data/Business Analyst,TrueCover,India,"Collating data from various sources.,Love, eat and pray sanity of data.,Analyse data and bring out the story it represents.",Posted30+ days ago,2022-07-26,,1200,"Responsibilities include but are not limited to
the following:
- Develop a comprehensive membership system and  introduce to potential
members.
- Draft strategic initiatives for the Marketing and Communications
activities. 
- Identify new fundraising opportunities within Armenia and outside the
country.
- Develop and maintain good relationships with potential donors within
Armenia and outside the country. 
- Develop a methodology to run marketing surveys for future fundraising
opportunities in Armenia and abroad; facilitate marketing survey. 
- Develop cost-effective fundraising activities.
- Develop annual marketing reports and present it to the Career Center
staff. 
- Develop and coordinate the production of all print materials relating
to the Career Center.
- Perform other related duties as assigned by President of the company.",All eligible candidates,3 Years Job Exp.
1200,Data Analyst-Tech,Chqbook,"Gurgaon, Haryana","Compile and analyze data related to business' issues.,Develop clear visualizations to convey complicated data in a straightforward fashion.",Posted28 days ago,2022-07-26,,1201,"- To arrange logistics for shipment goods and imports.
- To be responsible for communicating with customers, inputting customer
orders.
- To handle internal paperwork to process freight bills and work with
accountings to ensure proper payment.",All eligible candidates,3 Years Job Exp.
1201,Senior Performance Data Analyst,Deutsche Bank,"Mumbai, Maharashtra","Ensure that quarterly or annual data updates are timely processed and uploaded.,Oversight and development of the total EMEA & APAC DWS Real Estate performance…",Posted30+ days ago,2022-07-26,,1202,"- Assess the capacity building needs of farmer associations and develop
training curriculum. 
- Prepare all necessary training and capacity building materials and
ensure logistic provisions.
- Implement capacity building programs with local training institutions.
- Train community action groups in planning community development
strategies and activities.
- Prepare and conduct training on leadership, planning and monitoring in
institutional development for farmer associations from design to
implementation stage.
- Prepare and conduct training of trainers and support trainer in
training farmers in diverse agricultural practices. 
- Train farmers and key stakeholders in participatory land use.
- Provide vocational and business training to members of agricultural
households.",All eligible candidates.,3 Years Job Exp.
1202,Analyst -Trading Analytics Data Team,Cargill,"Gurgaon, Haryana","Minimum of two years of experience with data or data warehousing systems.,Partner with and support other data analysts to validate quality and coverage of…",Posted10 days ago,2022-07-26,,1203,"-	Establish demonstration plots in selected micro-catchments
(landslide-prone areas, multi-purpose trees, fast-growing plantation
etc).
-	Set up development plots (seed banks, nurseries, fruit tree orchards,
greenhouses, forage legumes) for diversified agriculture.
-	Provide technical support and start-up material for developing
off-farm income generating activities.
-	Provide technical support and advice to Training Coordinator if
required. 
-	Actively participate in appropriate training materials development in
line with project design and objectives.",All eligible candidates,3 Years Job Exp.
1203,Data Analyst,Surgical Notes RCM LLC,"Noida, Uttar Pradesh","Leverage data from Salesforce and other reporting platforms to analyze data and convert information into insight.,Speaking and listening on a telephone.",Posted24 days ago,2022-07-26,,1204,"-	To identify, plan and support community development initiatives in
infrastructure improvement
-	Identify leaders and form community action groups.
-	Facilitate and monitor community meetings, training sessions and other
initiatives. 
-	Establish a database to promote business links throughout local
business centers in cooperation with IT Consultant. 
-	Extensively travel throughout the targeted villages in order to
maintain good working relationships and cooperation with the communities
to maximize the impact of the project.
-	Network with the local government and non-governmental organizations
to exchange information and maximize the utilization of available
resources to assist in the promotion of project activities.",Experienced specialists,3 Years Job Exp.
1204,Eyeota | Business Intelligence Analyst,Eyeota,Remote,"5-8 years’ work experience in a business intelligence or analyst role.,Deliver ad-hoc data extracts for day-to-day business decision making.",Posted19 days ago,2022-07-26,,1205,"- Making arrangement with companies and individuals
- Conducting and maintaining databases, 
- Permanent search of new job opportunities, 
- Maintaining good relations with companies and job seekers, 
- Submission periodical reports on daily activities.","Students with an undergraduate degree.
We are prepared to consider students from a wide range of areas though
applicants will be required to write an essay that relates to regional
political, economic and cultural issues. This should not, however,
exclude non-specialists.",3 Years Job Exp.
1206,Data Analyst,Bombay Play,"Bengaluru, Karnataka","Prototyping new ways to visualise and understand data relationships.,You will find that this role will challenge you to combine your computational & statistical…",Posted30+ days ago,2022-07-26,,1207,"- Providing secretarial and administrative support to the Director and
his assistants.
- Answering/making telephone calls and faxing messages.
- Maintain the Director's and his assistants' calendar, arranging
meetings, invitations, exhibitions and other appointments.
- Performing other duties as assigned.",Residents of Armenia,10 Years Job Exp.
1207,Data Analyst,NEXTWAVE MULTIMEDIA,"Royapettah, Chennai, Tamil Nadu","Coordinate with both Strategic and development team explaining data insights and predictions.,Good experience with SQL, data modeling, dashboarding and…",Posted30+ days ago,2022-07-26,,1208,"- Preparation of various administrative documents, such as contracts,
orders, letters etc.
- Follow up and recording employees leaves and presence sheets.
- Calculation of salaries and submitting them to financial department.
- Management of administrative software and sending MSF expatriates
monthly checklists to headquarters in Brussels. 
- Reservation and purchasing of plane tickets according to staff
movement previsions.
- Arranging all visa, departure/arrival procedures for MSF staff.
- Follow up of office expenditure and kitchen expenses.
- Work organization for MSF office and house cleaning staff, cooks and
watchmen.",Residents of Armenia,10 Years Job Exp.
1208,Data Analyst,V-Align Technologies,"Bengaluru, Karnataka",Candidates with 1 to 2 years’ experience statistical data analysis.,Posted30+ days ago,2022-07-26,,1209,"- Actively support the Quality Improvement Process. 
- Assist in identifying and implementing a successful marketing plan for
assigned outlets. 
- Assume responsibility of daily operation of all assigned outlets. 
- Assist in working towards positive financial results.
- Assist in ensuring that scheduling functions are performed accurately
and on a timely basis.
- Assist in maintaining a highly motivated and well-trained staff",Residents of Armenia,2 Years Job Exp.
