,job_summary
1297,"§ Data analysis leveraging multiple data sources and tools including Excel, Salesforce, Tableau, SAP/HRIS.,Follows approach and reporting cycles for collecting…"
1298,"Develop and promote modern solution/data design approaches that ensure connected data and reusable Data products for business use Ensure business rules, data…"
1299,"Optimize statistical efficiency and quality by developing and implementing data collection systems and data analytics.,Who Ae We Looking For Exactly?"
1300,Optimize statistical efficiency and quality by developing and implementing data collection systems and data analytics.
1301,"New data collection from internet.,String data mapping skills by joining multiple tables in SQL DB.,Bachelor or Master degree in Science or Information…"
1302,"Successful candidates will be analytical with business acumen, and detail driven with excellent problem solving skillsThe ideal candidate will have a strong…"
1303,"Perform data analysis and develop reports.,1+ years of information security experience.,Requires excellent communication skills, especially written."
1304,"Should have experience in designing data models, data marts and exposure to tools like Erwin, Toad Data Modeler or similar tools."
1305,"Integrate large volumes of data and connect discrete data points to enable retention analytics.,Solve bugs and data quality issues by proactive collaboration…"
1306,"Provide technical expertise in data storage structures, data mining, data cleansing and process optimization.,Provide quality assurance of imported data."
1307,"Provide analyses and insights to interpret data to help stakeholders in better decision making.,Articulate data issues to the Pursuit Leadership team in a…"
1308,"Top-deciles data wrangling skills; strength in SQL and Python for data analysis and transformations.,3-7 years of demonstrated success in analytics role…"
1309,"Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing, data security and privacy."
1310,Someone who is passionate about both technology and data and strives for addressing business problems through data-driven solutions.
1311,"Acting as a point of contact for static data queries and requests.,You’ll need to have excellent analytical skills, with a structured and methodical approach…"
1312,Drive identification of requirements across business units and identify substandard systems processes through evaluation of real-time data.
1313,Need to have analytical ability to investigate issues with the RMS data which is questioned by client as part of Data Inquiry.
1314,"Ability to think critically and use data driven insights to solve problems.,Contribute to the design and implementation of controls and process maps Contribute…"
1315,"Involvement in various aspects of data analysis: requirement definition, data collection, analysis and visualization.,Have experience with using Ariba P2P tool."
1316,"Support annual attestation activities of critical data flows.,Execute identification and resolution of data lineage issues, supporting the analysis and creation…"
1317,"Familiar with data sourcing, data capture, data transformation and data preparation techniques.,Experience in end to end analytics delivery from data ingestion…"
1318,"Design and build metrics to monitor data quality.,Create effective SQL/PLSQL queries for profound data analysis.,SQL and PL-SQL skills - mandatory."
1319,You will be based in Gurugram office and work across Asia on client engagements where you will be required to support and/or lead workstreams on client projects…
1320,1 Has worked with Data Project defining Data Visualization Story.
1321,"Processing confidential data and information according to guidelines.,Demonstrated experience in handling large data sets and relational databases."
1323,"Pulling data to develop reports.,Regularly examine data reports to locate and resolve mistakes throughout.,Create business reports that provide insight into key…"
1324,"Compile and analyze data related to business' issues.,Use data to analyze and evaluate, transform data and insights into business recommendations, communicate…"
1325,"Proactively identify and investigate emerging data issues based on daily data quality analytics checks, liaise with data providers for understanding root-cause…"
1326,"2 - 5 years of experience in software testing/quality analyst, database and visualization concepts using tools such as Alteryx, Power BI."
1327,"Experience managing large data sets and analyzing data for actionable insights.,Apply suitable combination of data/analytical skills and domain knowledge, to…"
1328,"Understanding of data warehousing, data modeling concept and building new DW tables.,Translate data into actionable insights.,Experience with SQL or ETL."
1329,"1-2 years of experience in data analytics, data strategy, and reporting.,The Analyst, Analytics, is responsible for data cleansing, transformation, processing,…"
1330,"Automotive data research on the Internet or web services.,Database fulfillment with dedicated technical data for each vehicle."
1331,Liaise with analysts in order to understand and report the findings and observations of data needed for analysis and publications.
1332,"Landscape Diagnostic Survey (LDS) data management – handling the ODK server of LDS hosted at IASRI, monitoring LDS progress, downloading LDS data, curating data…"
1333,"Lead the research, definition and design of customer facing applications (sales) and Data Analytics.,During execution of project deliverables."
1334,Participate in the application and deployment of data policies and processes and their continued enforcement to include areas such as workflow for data…
1335,"Working knowledge of data mining principles: predictive analytics, cleansing, mapping, collecting data from multiple data systems on premises and cloud – based…"
1336,"Create and maintain various documentations and provide guidance to support analysts basis the same.,Our data, analytical solutions and insights help decision…"
1337,"Collect data, clean data, validate data and re-collect if any issue found.,Connect with stakeholders for operational data."
1338,"Minimum of 7 years of professional experience in data analytics or research.,Experience Required: • Minimum of 7 years of professional experience in data…"
1339,"Should be well versed with Reports, Graphs and Excel."
1340,"Experience with data analysis tools, such as Jupyter notebooks.,Previous experience working on products involving analysis of big data sets."
1341,"As a Junior Data Analyst, you will be responsible for identifying new types of email attacks, validating detections made by our algorithms, updating our machine…"
1342,"Efficient and pro-active email management.,Pro-activeness on email responses & proper justification for aged items.,Contribute to Team Meetings & Agenda points."
1343,"Remediates data in the Corporate Actions system on the basis of accurate analysis and scrubbing of data.,Managing various data remediation work streams Projects…"
1344,"Ability to identify missing data and recommend new data elements to create appropriate insights.,Expertise and experience with data mining, evaluation, analysis…"
1345,"2-4 years related experience such as data extraction and analytics, data quality, and database relational structures."
1346,"Perform data analysis on various business data.,Data cleaning, data manipulation on mass data in existing system.,Data cleaning and data manipulation."
1347,"Compile and analyze data related to business issues.,Develop clear visualizations to convey complicated data in a straightforward fashion."
1348,"Ability to model data, gather required data.,Understand optimization of data sources e.g. consolidation of multiple data sources into one scalable solution."
1349,Identify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data…
1350,"High process orientation and data management skills.,Conduct data quality audits across People Operations processes."
1351,"You will be required to fill 3 Forms Followed by an assignment and then 2 Phone Interviews.,You would have to work 2-4 hours on the weekends as the clients are…"
1354,"Develop reports and establish self-service reporting capability.,Convert existing manual reports to an automated, sustainable, and scalable platform such as…"
1355,"Business analyst: 1 year (Preferred).,Collecting data from the clients.,Identify and reconcile errors in client data to ensure accurate business requirements."
1356,"Analyze data to identify key risk trends to be escalated to management.,Identify, log, and assist in resolving data gaps and issues with our IT partners."
1358,"Provide operational support to data migration projects to analyze and cleanse the legacy data, then prepare it for import into corporate IT platforms."
1359,"Meet ad-hoc data/customized reporting requirement as and when sought.,Conduct analysis using available internal and external data; come up with actionable…"
1360,"Preferable : Must have, at least medior level.,Power BI, SQL, Tableau, Periscope, PostgreSQL, BigQuery, Pandas, Data prep."
1361,Enriching the data with efficient data collection mechanism and build data ware house to query the historical data.
1362,"Bachelor’s degree in data analytical fields or at least 4 years additional experience in data analytics.,Microsoft Excel (including pivots, formulas, and macros…"
1363,"Should have at least 7 years’ experience working as a Business Analyst / Data Analyst.,Presentation Skills - Microsoft Excel, MS - Word ; PPT."
1364,"Conduct data assessment, perform data quality checks and transform data using SQL and ETL tools.,Role: Data Analyst Location: Gurgaon Experience: 3-6 years…"
1365,"Business analyst: 4 years (Preferred).,Data analytics • Support the VP in identifying and resourcing the right talent to build an optimal Technology and data…"
1366,"TBU TBU At Q2, our goal is to be a diverse and inclusive workforce that fosters mutual respect for our employees and the communities we serve. Q2 is an…"
1367,Input into designing the Data Warehouse used to support the reporting needs Analysis of data and creating exec summaries of a data set.
1368,Instilling a company wide-culture of data-first decision making and driving continuous data quality best practices.
1369,"Experience in delivery data analytical reporting and bringing data to life through enhanced data visualization and reporting capabilities,."
1370,"Job type: Remote ( Work From Home).,After 2 monthsof training, there will be evaluation and hiring.,Do you have basic idea on Data Analysis concepts ?"
1371,"Using cutting edge statistical and machine learning techniques to identify opportunities from terabytes of data.,Knowledge of Python or Perl is a plus."
1372,"Performs data discovery to understand data values and relationships in new data sources.,The Data Management Analyst achieves this through data discovery &…"
1374,"2+ years of experience as a data analyst.,We are looking for a data analyst who can organize the huge amounts of marketing data available into actionable…"
1375,"Ensure all assets (i.e., images, video, PDF, InDesign files etc.).,Are uploaded, managed, and maintained in Global Marketing Databases for the client."
1376,"You will turn business requests into data problems and tackle them in a scalable and efficient way, working together with analyst teams across the APAC region."
1377,"Presenting data, sharing analysis and getting concurrence from stakeholders on actions (for.,RPA Business Analyst experience preferably into Telecom domain."
1379,"Very good working knowledge of MS Excel and MS PowerPoint, including data analysis features of Excel.,Business Management Analyst for business management…"
1380,"The business analyst will be responsible for working with business stakeholders in identifying business processes, collecting and documenting information,…"
1381,"Identify and support implementation of automated digital methods of capturing and displaying line data and plant data, as well as populating data lakes."
1382,"Experience with large data sets, ability to write/execute SQL queries to extract, review and understand; Experience with reporting, data management, or data…"
1383,"*Keeping a track of all the orders coming from the website on a daily basis.*.,*Taking approvals from the customers for the orders before sending it to the…"
1384,"Developing and maintaining databases, data systems – reorganizing data in a readable format.,Performing analysis to assess quality and meaning of data."
1385,"Refine the digitization strategy & lead value extraction from existing execution.,Drive digital transformation in Transportation and Warehousing."
1386,"Familiar with extraction of relevant data, cleanse and transform data into insights that drive business value, through use of data analytics, data visualization…"
1387,"Assist seniors in highly sensitive or confidential data or images;,The ability to identify patterns or trends across large amounts of data."
1388,Data Quality (DQ) Analysts are responsible for ensuring the overall health of the data ecosystem and the quality of data per bank’s data quality management…
1389,"You will weave stories with meaningful insight from data.,You will work to effectively turn business questions into data analysis, and provide meaningful…"
1390,"Execute processes to monitor data governance policies and procedures to ensure data integrity and privacy, establish consistent data definitions, and monitor…"
1391,"Knowledge of data governance, data quality, and data stewardship best practices.,Consult with key stakeholders, business data owners, and data stewards to:…"
1392,"Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools.,A degree in IT / Computer Science."
1393,"You will engage with external current or potential Suppliers for performing data protection impact assessments of solutions which hold personal data, verifies…"
1395,"Job Type : Fixed term contract.,Advanced excel and macros.,Data Analysis - mainly ERP download reports in inventory."
1396,"We are committed to helping our clients work with newly empowered customers, hyper-connected digital ecosystems, and expansion in data."
1397,"Experience working with data from multiple data systems and databases.,Ability to examine data critically to extract meaningful insights."
1398,"Experience delivering reporting, database, data integration and cube solutions.,Experience of database design or integration experience with SQL Server…"
1399,"Partner with project managers and other business analysts to review and understand business requirements, recommend solutions, and provide level of effort…"
1400," Working with delivery team in data management, data enrichment, web data mining/scraping (python), basic understanding of SQL and automation."
1401,"The global data analyst provides the local and area teams with analysis, insight and support with all type of data queries."
1402,"Support data quality issue & measures related activity in partnership with domain data.,Support data governance and quality assurance activities."
1403,"Develop high level data models and process flows.,Should understand the business objective, validate all the requirements of the."
1405,"Strong verbal/written communication and data presentation skills.,.Strong on diving deep to understand data nuances.,Track record for being detail-oriented."
1408,"You have a knack for helping people make data driven decisions.,Work closely with Data Engineering and partner teams to author and develop core data sets,…"
1409,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,…"
1410,"Job Types: Full-time, Contractual / Temporary."
1411,"Hands-on experience in leading delivery teams in data cleaning, data management, data enrichment, data transformation.,Employment Type: Permanent/Full time."
1412,"Excellent SQL skills: extensive experience querying large, complex data sets.,Will answer business-related questions through exploratory data analyses and ad…"
1413,"Must have an aptitude for data analysis and basic knowledge of Excel.,Spot and write analysis-driven or topical articles on Indian markets, industries and…"
1414,"Experience working with data from multiple data systems and databases.,Ability to examine data critically to extract meaningful insights."
1416,"Work with data and analytics experts to strive for greater functionality in our data systems.,Drive KPI using the data."
1417,"Familiar with data platform capabilities like data ingestion (ETL vs CDC), data lake, data warehouse, data marts, data science."
1418,"Acquire data from primary or secondary data sources and maintain databases/data systems.,He will study existing customer data.,Accuracy and attention to detail."
1419,"The selected candidate will be tasked with developing new data validation methods and data analysis tools.,Ensure the correct usage of existing data sources,…"
1420,"Strong analytical skills, with a solid foundation in statistics and data processing, including data reduction, regression, automation, and visualization."
1421,"Excellent analytical and problem-solving skills, incl. intellectual curiosity, ability to structure problems in qualitative and quantitative terms, ability to…"
1422,"3-5 years’ prior experience in a data analyst role.,Conduct data analysis; evaluate business processes; determine business needs; identify requirements; develop…"
1423,"Analyze data using Microsoft Excel and produce reports for the internal and external stakeholders;,Maintain and update customer data in Citco Banks information…"
1424,"Process and analyze large volumes of data.,Develop data analytics for the ICE Bonds fixed income business.,Strong analytical skills including ability to rapidly…"
1425,"Understanding of end-to-end data processes and data flow and Products.,Maintaining and improving the data flow globally.,Review reports to measure & meet KPI’s."
1426,"Hands-on expertise in data research skills using available resources.,Devise and evaluate methods for collecting data, interpreting information and collating in…"
1427," Drive application & technical architectures to ensure scalability, data consistency, speed of access, appropriate monitoring & instrumentation."
1428,"Knowledge of data modelling through entity relationship/ORM tools and data normalization are a plus.,Responsibilities: - The role will be part of larger Tech…"
1429,"§ Employee engagement and brand initiatives, Mobility, Strategic Hiring, Digital Transformation, Diversity/Inclusion – These projects will include activities in…"
1431,"Drive key metrics by making recommendations based on identifying and analyzing data and implementing strategies.,Participate in different projects and deliver."
1432,"Utilizing IT data for business insights.,Business analyst: 1 year (Preferred).,Understanding strategic business needs and plans for growth."
1433,"Able to assess the effectiveness and accuracy of new data sources and data gathering techniques.,Knowledge of designing, implementing, deploying, and…"
1434,"You will execute quantitative analysis that translates data into actionable insights.,Penchant for business and persistence to work with data to derive insights…"
1435,"Perform risk monitoring and independent risk assessments.,Drive and deliver risk and control related initiatives.,Best in class leave policy."
1436,"Ability to present complex data clearly.,Develop data mining and customer prospect profiling.,The successful candidate will drive business insights and…"
1437,"Expertise in MS Office tools, Agile toolset, data visualization and collaboration tools., JIRA.,Job Role - Lead business Analyst."
1438,"Provide solutions for data modeling, usability & management of different data sources.,Execute data projects and reports from end to end."
1439,This includes focusing on tracking business performance through trusted data and insights while actively managing employee behaviors.
1440,Undertake Publisher/Users data subject requests by complying to the regulations and updating relevant user rights forms in the tool.
1441,"You'll have excellent data interrogation and analysis skills, using qualitative or quantitative data, to guide planning and prioritisation."
1442,"Gathering data, analyzing data, modeling data.,Hands-on experience with data integration, data modeling.,Minimum 2-year experience in business data analysis and…"
1443,"Create various analysis for error handling in existing data products.,You will execute quantitative analysis that translates data into actionable insights."
1444,"Provide support to Registered Principals and Supervision leaders in conducting supervision by providing 1st level analysis of documents and processes, data…"
1445,"Good knowledge in data engineering concepts, data architecture design, performance tuning, and data modeling advanced ability to perform exploratory data…"
1446,"Google Analytics data analysis and reports.,Ability to analyze data through web analytics and expert knowledge on Google Analytics and Google Adwords."
1447,"Work with external organizational design vendors, like OrgVue, to submit data and conduct data analysis to help achieve business objectives."
1448,"Ability to derive stories from data & Visualization.,Conduct competitive research and analyze benchmarking data to drive relevant next steps for key brands."
1449,"Conduct trending, data mining and data analytics efficiently.,Diagnose and fix data related and reporting issues to ensure data accuracy."
1450,"Ability to take data driven decisions.,Great with reporting, analytics, visualization of data.,Technical as well as business knowledge of data and database…"
1451,"Prepare, check source information , verify data and correct data where necessary.,Comply with data integrity and security policies."
1452,< >You will work with the Onshore Capacity Planning Data Analysts to produce capacity plans by country and domains to support delivery of Installations and…
1453,Omni Shopper Team member is considered as the Core team who are responsible to building Customized Databases based on client requirements by coordinating with…
1454,"Able to understand the underlying reference data and data flows and its impact on reporting / accounting processes.,VBA Macros experience strongly preferred."
1455,"O Analyze raw data from technical attributes existing in reports.,We leverage digital technologies, advanced analytics capabilities, and our domain knowledge…"
1456,"Understanding of data base, data model and data visualization tools.,Participate in transformation efforts within Operations by re-engineering / automation of…"
1457,"Technical skills required to understand client requirements & developing technical solutions by defining, analysing, and documenting those requirements. should…"
1459,"Previous experience in any of the database tools like Oracle Goldengate, Oracle data pump, Oracle RMAN, Oracle Data Guard, SQL Server Migration Assistant."
1460,"Developing SQL code to interrogate our data to solve key business problems.,As part of this team, you will be using your skills as an analytics and data science…"
1461,"Develop and maintain databases, data systems – reorganizing data in a readable format.,Proven working experience in data analysis."
1462,"Processing confidential data and information according to guidelines.,Supporting initiatives for data integrity and normalization."
1463,"Keen interest in understanding business context for the data.,Make recommendations about the methods and ways in which we obtain and analyze data to improve…"
1464,"Ability to research and synthesize data and information.,Responsible for accurate interpretation of data relevant to drugs in the form of research and analysis."
1465,"Good knowledge of MS Excel and SQL and some coding experience with data analytics.,Good Experience in SWIFT messaging, Fedwire, RTGS, Bofa etc."
1466,"Assemble and summarize data to generate reports on financial status and risks (daily, weekly, monthly and quarterly)."
1467,"Familiarity with agile development and concepts such as databases, programming, statistical modeling, data visualization."
1468,"1-2 years of work experience in a data processing, data analysis and automation.,Proficiency in Excel/Sheets, SQL, and data visualization tools."
1469,"Familiarity with agile development and concepts such as databases, programming, statistical modeling, data visualization."
1470,"1-2 years of work experience in a data processing, data analysis and automation.,Proficiency in Excel/Sheets, SQL, and data visualization tools."
1471,"Experience in master data management and data governance.,Ability to work with teams and see the scope of improving data processes and data quality, and…"
1472,"Working knowledge of data query tools, Business Objects.,Participate in the creation of Business Requirements Document.,Use Case Analysis and Documentation."
1473,"Experience in collecting, managing, and synthesizing data sets and information from sources, data mining, and data analysis."
1474,"Should be able to handle large amount of data.,Analyze and interpret data to help improve processes and workflows."
1475,"Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions."
1476,"Writing the business requirement documentation including overall solution, data definition, process flows, interfaces, product configurations, support tools and…"
1477,"This will help is efficient data aggregation.,SM auditor should have an eye for detail and data accuracy skills.,Bachelor's Degree from good school."
1478," Experience with advanced data analytics tools and techniques., Knowledge of basic statistics, including descriptive statistics, data distribution models,…"
1479,"Maintain the health of data sources, and data collection systems through stringent data quality check and process improvements."
1480,"Experience in using one or more data visualisation tools (preferably Microstrategy).,Diverse minds that work cross- functionally and broadly together."
1481,"Researches data anomalies and issues.,Provides recommendations for improvement and written documentation that relates to analysis of data."
1482,"Experience working with Business Intelligence (BI) platforms and a true passion for data modelling, solving complex data issues, and developing infrastructure…"
1483,"Support in data analysis of projects.,Manage clinical report generation, closely work with the genome analyst team and close orders within TAT."
1484,"Working knowledge of data quality management, data entry improvement and user requirements.,Other significant responsibilities will be to support on-going…"
1485,"Adept at data prep, data modeling and data visualization.,Performs ETL work to pull data from source systems, including manipulating data, and placing in the…"
1486,"It is essential to have prior experience in data scraping, analysis and visualisation.,The candidate should have a background in data sciences, and should be…"
1488,Essential Qualifications: Bachelors in any of the Life Sciences (Students undertaking Bachelors may also apply). Excellent written communication skills and…
1489,"Experience in data modeling, programming, querying, data mining and report development using large volumes of granular data to deliver business intelligence and…"
1490,"Ability to create SQL with minimal direction for data retrieval from relational database.,Atleast 5+ years of experience in payments industry."
1491,"Excellent data gathering and analytical skills with critical attention to detail.,Uses Dashboard \ Reports and available data analytics to ensure personal and…"
1492,"Review data to detect any data integrity issues (i.e., identify illogical results, etc.).,2-3 years of applied experience in data collection, analysis, and…"
1493,"Deep understanding of data analysis and blending data sources.,Strong data modeling skills and SQL expertise.,Experience in designing, developing, and deploying…"
1494,"Knowledge of database/data sets/schema design, modelling and development.,Function as data team member for engagements to support the implementation of Data and…"
1495,"The Reference Data Analyst supports various elements of the data lifecycle, from ensuring that data is captured from the best source, to validating and…"
1496,Design and develop QC checks to support ongoing data cleaning to identify issues/risks in data quality and data cleaning performance.
1497,"Filter and “clean” data by reviewing data in excel sheets, rectify data problems.,Interpret data, analyze results using data analysis techniques and provide…"
1498,"Power BI Reporting Analyst with hands on SSIS & SQL experience.,Collect and understand the report requirements by working with different SMEs - Create custom…"
1499,"5 Developed standardized scripts to verify the completeness, accuracy, and integrity of the data received from client, as well as additional programs to address…"
1500,"Sound experience in data analysis, validation and presentation of results.,Be ready to navigate the complex relationships that make the business world run and…"
1501,"Manage large volume of B2B data research on LinkedIn, and leverage a range of database tools to create and enter accurate customer profiles into CRM."
1502,"Being experienced in data management is strongly encouraged, especially in data quality, governance and reference data.,Ensure platform SLA uptime is met."
1503,"Relevant experience in data analysis & reporting 2) proficiency in python, sql and MS Office 3) should have experience in executing projects successfully by…"
1504,"Connect to data sources, importing data and transforming data for Business Intelligence.,Experience in Tabular Model creation & data visualizations."
1505,"Experience with data architecture, data integration/engineering, data warehousing, and/or business intelligence deployed in a complex environment."
1506,"Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools.,Define reporting and alerting requirements."
1507,"Collaborate with data management in the planning and implementation of data quality assurance plans.,Assist in and/or be accountable for selecting statistical…"
1508,Transferring data from various internal and external sources into the data collection application and checking existing data for discrepancies/duplicates.
1509,Work with management to prioritize business and information needs and propose solutions and strategies to business challenges Analyse and interpret trends or…
1510,"After the extraction of the data, therefore, Data Analysts have to convert the raw data into structured data by resolving the errors in the data, removing…"
1511,"This function covers incumbents responsible for various data activities, which include database administration, data analysis, maintenance, data quality, and…"
1512,"Various data domain owners and data quality teams.,Conduct data analysis implementation and monitoring of DQ.,Provide analysis into data quality inconsistencies…"
1513,"Prior experience as a project analyst.,Eligibility Criteria - Master in Statistics / Post Graduate in Public Health / Hospital Management."
1514,Strong analytics capabilities and excellent analytical problem-solving techniques with the ability to deal with large volumes of data and data cleaning.
1515,"Create and federate audience segments; both ad hoc using SQL and via internal CDP, to support business units and power their digital marketing channels."
1516,Act as primary contact and take ownership for incoming demands that will support integration requirements between source and target application(s).
1517,Innovary Technologies is looking for Sr. Data Analyst who is result oriented individual contributor with passion on Traffic Data Analysis and People behavior…
1518,"4-5 of related work experience into manufacturing data analysis and coordination.,The Operations Analyst will be responsible for the structuring of information…"
1519,"Experience with data analysis tools required.,The successful applicant will be a fast learner with experience and a keen interest in analyzing policies and data…"
1520,"Strong attention to detail, ensuring the highest level of quality/rigor in reports and data analysis.,Analyze data and package for internal / client usage,…"
1521,"Develop and deploy new data sources, data derivations, and business intelligence.,Experience with using data querying and scripting languages to analyze large…"
1522,"Understand diverse technologies and can analyse requirements, define specifications and interpret complex data."
1524,"Perform system analyst role in performing data analysis between touch points, root cause analysis on any gaps/issues, design, develop & validate the reports…"
1525,"Experienced in data analysis, data profiling, data mining and MI tools.,Experienced in operating with Bloomberg terminal functions including data mining ,…"
1526,"The Immigration Transformation group is responsible for cost optimization, data management and analytics, process excellence, strategic projects, technology…"
1527,"Has an eye for quality in data solutions design.,Understanding of complex data structures and use them towards solution design."
1528,Developing functional specifications for use by system developers using data and process modelling techniques to create clear system specifications for the…
1529,"Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools.,Define reporting and alerting requirements."
1531,"Perform data analysis, design of data architecture requirements and mapping.,Strong Knowledge of reference data management is a mandate."
1532,"To analyse Data and prepare reports with MS-Excel.,Take decisions based on the Hourly/Alarm reports.,Full Training will be provided."
1533,"Addressing internal queries, data requirements and escalations regarding category.,I. Monitoring & extracting relevant data points & MIS from our analytics."
1534,"The role may also need expertise in managing clinical data management projects.,The team is responsible for performing data management activities including…"
1535,Collecting and analyzing financial data and taking ownership in data quality controls to ensure consistent and high-quality data are delivered as per the…
1538,"Responsible for managing HR data.,3 - 5 years experience in maintaining HR data.,Analysis on different HR matrices and managing various dashboards."
1539,"Able to support conclusions with analytical evidence using descriptive stats, inferential stats and data visualizations."
1540,"Using advanced data science and survey advisory capabilities to strengthen the credibility of insights.,This will include quantitative and qualitative data…"
1541,"Ability to work with large amount of data (size in TB’s).,To develop customer risk strategies, segmentation and profiles, using data science based tools."
1542,"Strong SQL experience in querying large data sets; creating & maintaining views.,Be responsible for accuracy, integrity, and consistency of data by taking…"
1544,"Basic knowledge of data controls.,Partner with Risk Portfolio managers & analysts, to help them fulfil their data domain related responsibilities acting as a…"
1545,"Evaluation of money laundering networks including ticket creation and connection of already existing tickets.,Reporting of new money laundering patterns."
1547,"Coordinate new and existing process improvement project management functions.,Troubleshoot GWO analytical issues and determine the updates that are required to…"
1548,"Creating data visualizations to effectively convey findings.,Experience in data models and reporting packages.,Strong verbal and written communication skills."
1549,"Years of Experience: 3-5 years.,You will be working as a part of the Transaction risk management team which focuses on reviewing potential fraudulent/high-risk…"
1550,You will be a part of the Market Risk Analysis and Control (MRAC) function within MVRM and will be responsible for the provision of all official market risk…
1551,"Hands on experience with data analysis and data classification.,Collect process error data, analyze it, categorize it, and report."
1552,"Our data analysts are integral to our recent growth and success within our data management & engineering division.,Identifying patterns and trends in datasets."
1553,"Analysis, verification and transfer of process data records from the energy management system.,B) Extensive knowledge in the field of data analysis in…"
1554,"Highly data-driven and process orientated.,Ability to handle and make sense out of a large amount of data is a key differentiator."
1555,5+ years of work experience in SQL/Python and data visualization/BI Tools to communicate business insights using data.
1556,". Ashok D. confirmed the job description is already known to HR for these roles. . Job Segment: Network,…"
1557,Assists in analyzing and documenting client's business requirements and processes; communicates these requirements to technical personnel by constructing basic…
1558,"Should be very strong in Manual Testing.,Experience in Data Analysis, Data Validation, Data Cleansing, Data Verification.,Mobile Apps testing using Simulators."
1559,"Analysts work on a rich data ecosystem, supported by a full-fledged Data Engineering team that collaborates with analysts to build high-performance solutions,…"
1560,"Cyber Security vigilantly protects Deloitte and client data.,Cyber Security Risk and Compliance Analyst.,You will serve as a CSRC Analyst within the Deloitte US…"
1561,"Excellent Excel Skills - Comfort with Pivots, Functions and Experience of Designing Small Models.,Within Excel is a Must.,Experience with Macros is a Big Plus."
1562,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise in data models, database design development, data…"
1563,"3+ years experience as Data Analyst in business ops support fuction.,Hands on knowledge on biz ops support and Data analysis."
1564,"Good To Have: Retail Insights, data models.,Skills: Experience in Competitor Analysis, Data Analysis, Excel, Python, R, Tableau, SQL Queries, Selenium."
1565,"Perform data analysis for generating reports on periodic basis.,Downloading Data from Systems and mapping the same as per the requirement, coordinating with…"
1566,"Build and deploy data models that can be used by marketers for developing data driven campaign strategies.,1 – 3 years’ experience in developing and executing…"
1567,"Basic knowledge of R or Python, and data analysis techniques.,Data Analytics: Analyze client’s data to draw insights and prepare business cases and reports on a…"
1568,"\* Experience in data analysis & reporting.,Proven exp as an operations analyst , warehouse coordinator and similar role.,\*Experience Required - 3 + years."
1569,"Very good database and data warehouse knowledge.,Identifying, gathering, analyzing, modelling data from local sources.,Grow as we grow as a company."
1570,"Data added to data sets are consistent with the common data model.,Generate data and use reporting tools to provide accurate information from disparate data…"
1571,"Requirements:Collaborate with business, strategy, marketing, data warehousing and tech team to understand/review the data requirements and structure of the data…"
1572,"Proven working experience as a Data analyst.,Prior experience (2-3 years) in data analytics which spans across business metrics and processes."
1573,"Using business data and analysis from various data sources, including manual excel spreadsheets you’ll work and develop automated reporting solutions with the…"
1574,"Build and maintain complex data integrations for internal and external data, and maintain the data domain metadata and data catalog."
1575,"Minimum 5 years of working experience as a data analyst.,Technical expertise regarding data models, database design development, data mining and segmentation…"
1576,"Analyze data to ensure data quality and accurate calculation results.,Perform business and data analysis in development of requirements and in ongoing support…"
1577,"Training for the above profile would be provided.,Candidate should have good communication skills.,0 to 1 year of experience in any research profile (Company…"
1578,"Experience with data visualization software such as Tableau is preferred.,Prepare, export, and clean up data for distribution to Deloitte member firms and…"
1579,"Lead efforts to gather and analyze data required to prepare business process and procedural documentation.,Independently consults with users regarding business…"
1580,"Linking millions of assured data points, Janes data model creates a framework of interconnected open-source defence intelligence."
1581,"Design and implement quantitative and qualitative methods of data collection.,Undertake analysis using quantitative and qualitative tools to assess data…"
1582,"Analyze website data to determine areas of site improvement.,Create business on-demand as well as regular reports that provide insights into key data points."
