,Eligibility
9087,All interested candidates
9100,"The candidate should be 1st year MS
student."
9106,All eligible candidates
9107,All interested candidates
9108,All interested candidates
9109,All interested candidates
9111,Everyone
9113,"Candidates will be considered without
respect to race, color, religion, national origin or gender. Persons with
disabilities are strongly encouraged to apply. Competition for the Global
Undergraduate Exchange Program is merit-based and open to anyone who:
- Is a citizen, national or permanent resident qualified to hold a valid
passport issued by the country of Armenia, Azerbaijan, Belarus, Georgia,
Kazakhstan, Kyrgyzstan, Moldova, Russia, Tajikistan, Turkmenistan,
Ukraine or Uzbekistan;
- Is currently residing in one of the following eligible countries:
Armenia, Azerbaijan, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Moldova,
the Russian Federation, Tajikistan, Turkmenistan, Ukraine or Uzbekistan;
- Is enrolled as a full-time undergraduate student at the time of
application at a registered academic institution in one of the 12
eligible countries and in good academic standing. All students must
return to their home academic institution for a minimum of one full term
(semester or year) following the end of the Global UGRAD program.
Correspondence students in Tajikistan and Turkmenistan are also eligible
to apply;
- Is between the ages of 18-24 years old at the time of travel to the
United States (August-September 2011); 
- Submits a complete original application and two copies with all
required documents by the application deadline;
- Is able to begin the academic exchange program in the United States in
the fall of 2011;
- Is able to receive and maintain a U.S. J-1 visa;
- Is physically able to complete the program in its entirety;
- Is committed to returning to their home country after completion of the
program;
- Is proficient in spoken and written English at the time of application."
9130,All interested candidates
9132,All interested and qualified candidates.
9133,All interested and qualified candidates
9136,"All interested professionals in the field
of Sociology, Political Science, Statistics and Data Management Systems."
9138,All interested candidates
9139,"All interested professionals in the field
of Sociology, HR, Management and Quality Assurance Systems."
9145,All interested candidates.
9147,Everyone
9153,All interested candidates
9154,All interested candidates
9155,Citizens of Armenia
9156,All eligible candidates
9157,"All interested professionals in the field
of Civic Education."
9160,"This position is open for all qualified
candidates."
9161,All interested candidates
9162,All qualified candidates
9163,All interested candidates
9164,All qualified candidates
9167,All qualified candidates.
9177,All qualified candidates
9181,All qualified and interested candidates.
9182,All qualified candidates
9186,All interested and qualified candidates.
9191,Everyone
9199,"Degree in Law, preferable in Civil/
Business Law (minimum Bachelor's, Master's and PhD is preferable)."
9200,All interested and qualified candidates.
9201,All qualified candidates
9203,All interested and qualified candidates.
9213,"All interested professionals in the field
of Social Assessment."
9219,All interested and qualified candidates.
9223,All qualified and interested candidates.
9224,All eligible candidates
9231,All interested and qualified candidates.
9233,All interested candidates
9238,All interested candidates
9241,All interested candidates
9245,All qualified candidates
9247,Everyone
9248,All interested candidates
9249,All interested candidates
9252,All qualified and interested candidates
9255,All qualified and interested candidates
9257,All qualified candidates
9262,All interested and qualified candidates.
9263,All interested candidates
9273,All interested candidates
9275,All qualified and interested candidates.
9278,All interested candidates
9284,All qualified candidates
9287,All qualified candidates
9290,All qualified candidates
9292,All interested and qualified candidates.
9293,All interested candidates
9296,Everyone
9300,All
9302,All qualified candidates
9303,All qualified candidates
9311,All eligible candidates
9313,All qualified candidates
9321,All qualified candidates
9326,All qualified candidates
9328,All qualified candidates
9330,All qualified candidates.
9332,All interested candidates
9335,All qualified candidates
9336,All qualified candidates
9342,All interested candidates
9347,All qualified candidates.
9348,All interested candidates.
9351,Professionals/Final year students
9352,All interested candidates
9353,All interested candidates
9354,Everyone
9355,All interested candidates.
9356,Everyone
9357,"Specialists in marketing or related
fields, and managers/executives with work experience of more than half a
year."
9358,All qualified and interested candidates.
9360,All qualified and interested candidates.
9361,All qualified and interested candidates.
9363,All qualified candidates
9366,All qualified candidates
9373,All interested candidates
9376,All interested candidates
9377,4th year students and MS degree students.
9378,Everyone
9387,Everyone
9389,"All qualified candidates, students and
young professionals."
9397,All qualified and interested candidates.
9398,MS degree students
9399,"Young professionals, recent university
graduates and fourth-year undergraduate students from Armenia are
eligible to apply for participation in the Olympiad in International
Economics training program that will be held in Yerevan."
9402,All interested and qualified candidates
9406,All qualified candidates
9407,Everyone
9408,All interested candidates
9412,All interested candidates
9413,Everyone
9414,All interested candidates
9419,All interested candidates
9422,All qualified candidates
9423,All eligible candidates
9426,All qualified candidates
9429,All qualified candidates
9434,All interested candidates
9438,All interested candidates
9439,All qualified candidates
9440,All qualified candidates
9441,All qualified candidates
9442,All interested candidates
9444,All interested candidates
9445,All interested candidates
9454,All interested candidates
9456,All qualified candidates
9457,All qualified candidates
9460,All interested candidates
9461,All qualified candidates
9463,All qualified candidates
9464,All qualified specialists
9465,All qualified specialists
9484,All qualified candidates
9486,All qualified candidates
9497,Everyone
9499,All interested candidates.
9501,All qualified candidates
9502,Interested/qualified candidates.
9504,All qualified and interested candidates.
9505,All qualified and interested candidates.
9506,All qualified and interested candidates.
9507,All qualified and interested candidates
9511,Everyone
9516,Everyone
9518,All interested candidates
9520,Everyone
9527,All interested candidates
9534,Everyone
9539,All interested candidates
9541,"All eligible, interested and qualified
candidates."
9542,"Kotayq and Gegharkunik regions'
inhabitants."
9546,All qualified candidates
9547,"Highly motivated individual who is able
to work with minimum supervision."
9548,"All qualified candidates, professionals
and students  are encouraged to apply."
9563,All interested candidates
9564,All interested candidates
9565,All interested candidates
9566,All interested candidates
9568,All interested candidates
9569,All interested candidates
9570,All interested candidates
9572,All qualified and interested candidates.
9573,All qualified and interested candidates.
9575,All interested candidates
9579,All qualified and interested candidates.
9585,All qualified candidates
9586,All interested candidates
9587,All interested candidates
9590,All interested candidates
9595,All interested candidates
9597,All qualified candidates
9598,All qualified candidates
9600,Everyone
9604,All qualified and interested candidates.
9608,All interested candidates.
9609,All qualified candidates.
9610,All interested/qualified candidates.
9613,Everyone
9614,All qualified candidates
9616,Everyone
9618,All qualified candidates
9621,All qualified and interested candidates.
9622,Qualified candidates.
9627,"All interested candidates from the three
countries of the South Caucasus."
9634,Everyone
9639,All interested candidates
9640,Everyone
9642,All qualified candidates
9648,All qualified candidates
9652,All qualified candidates
9656,All qualified candidates
9663,All eligible candidates
9665,All interested candidates
9667,Qualified candidates.
9668,All eligible candidates
9670,All eligible candidates
9672,"National/International consultants for
final evaluation of project, living in Armenia."
9679,All eligible candidates
9680,All qualified and interested candidates.
9681,All qualified and interested candidates.
9683,All qualified candidates
9685,"All interested and qualified national and
international consultants residing in Armenia."
9688,All qualified and interested candidates.
9694,All qualified candidates.
9696,All qualified candidates.
9699,All interested candidates.
9700,All qualified candidates
9701,"Young activists who want to become a
trainer in conflict analysis, conflict management, conflict
transformation, conflict mediation and conflict resolution can apply for
this project."
9702,All qualified candidates
9705,Everyone
9709,All qualified candidates
9715,All qualified candidates.
9719,"All interested professionals in the
fields of Sociology, Statistics, Quantitative Fieldwork Management."
9720,All qualified candidates
9724,All qualified candidates
9730,All eligible candidates
9731,All interested candidates
9733,All qualified candidates
9739,All qualified and interested candidates.
9742,All qualified candidates
9743,"Students planning to pursue Master's
degree in Agribusiness; entry and middle level managers in agribusiness
sector who would like to get high quality western standard graduate level
education in Armenia."
9746,All interested candidates
9749,All qualified candidates
9757,All interested candidates.
9762,"All interested candidates. Only
short-listed candidates will be contacted."
9764,All interested candidates.
9766,Everyone
9767,Everyone
9773,"Native English Speakers with IT
background."
9778,"All interested professionals in the field
of socio-economic research, employment and business segmentation surveys."
9780,All interested candidates.
9781,All interested candidates
9786,All qualified and interested candidates.
9788,All qualified and interested candidates.
9794,All qualified candidates.
9795,All qualified candidates
9801,Armenian nationals
9816,All qualified candidates
9820,All qualified and interested candidates.
9824,All qualified and interested candidates.
9828,All interested candidates
9830,All qualified candidates
9832,All qualified and interested candidates.
9833,All interested candidates
9841,All qualified candidates
9842,"The Programme is open to all interested
applicants who:
- Hold a Bachelors degree or a degree equivalent to a Bachelors;
- Are fluent in English and Russian;
- Have professional and/or research interest in human rights and
democratization issues."
9843,All qualified candidates
9844,All qualified and interested candidates.
9845,Everyone
9848,All qualified and interested candidates.
9850,All interested candidates
9858,All qualified candidates
9863,All qualified and interested candidates.
9865,"Local and international trainers are
eligible to participate in the competition."
9875,"The Programme is open to all interested
applicants who:
- Hold a Bachelors degree or a degree equivalent to a Bachelors;
- Are fluent in English and Russian;
- Have professional and/or research interest in human rights and
democratization issues."
9881,All qualified candidates
9882,All qualified and interested candidates.
9884,All qualified and interested candidates.
9910,Everyone
9912,All qualified candidates
9924,All qualified and interested candidates.
9926,All interested candidates
9927,All interested candidates
9928,All qualified candidates
9929,All interested candidates
9930,All qualified and interested candidates.
9931,All qualified candidates
9933,All qualified candidates
9934,All qualified and interested candidates
9938,All interested candidates
9946,All interested and qualified candidates.
9948,All qualified candidates
9956,All qualified candidates
9963,All interested and qualified candidates
9964,Everyone
9972,All qualified and interested candidates.
9975,"All interested professionals in the field
of Public Relations."
9983,Practicing journalists
9984,"Students in higher grades of the
journalism faculties of higher education institutions."
9985,All interested candidates
9999,All interested candidates
10000,Preferably Lori region residents.
10002,Everyone
10003,All interested and qualified candidates.
10004,All qualified and interested candidates.
10016,All qualified and interested candidates.
10018,All interested and qualified candidates
10025,All qualified candidates
10029,All interested candidates
10030,All interested candidates
10031,All interested and qualified candidates.
10034,"It is open only to nationals and
residents of Armenia."
10042,All qualified and interested candidates.
10043,All qualified and interested candidates.
10046,All qualified candidates
10050,All qualified and interested candidates.
10051,All qualified candidates
10052,All qualified candidates
10055,All qualified candidates
10056,All qualified candidates
10065,All qualified and interested candidates.
10066,Everyone
10072,Everyone
10078,"It is open only to nationals and
residents of Armenia."
10081,All interested candidates
10086,"All interested candidates, preferable
with not less than 1 year of experience."
10087,All interested candidates
10088,All eligible candidates
10093,All qualified candidates
10094,All qualified and interested candidates.
10101,All qualified candidates
10111,All qualified candidates
10113,All qualified candidates
10114,All qualified candidates
10127,Everyone
10130,All qualified candidates
10139,All interested candidates
10146,All qualified candidates
10147,All qualified candidates
10148,All eligible candidates
10149,All qualified candidates
10154,All qualified candidates
10159,Everyone
10161,All interested candidates
10162,All qualified and interested candidates.
10165,All qualified and interested candidates.
10168,"Local and international trainers are
eligible to apply."
10169,"Local and international trainers are
eligible to apply."
10170,"Local and international trainers are
eligible to apply."
10172,"Local and international trainers are
eligible to participate to apply."
10173,All qualified candidates
10175,"Local and international trainers are
eligible to apply."
10176,All qualified candidates
10180,All qualified candidates
10182,All qualified candidates
10183,All eligible candidates
10184,All qualified and interested candidates.
10185,All interested candidates
10187,All qualified and interested candidates.
10190,All qualified and interested candidates.
10191,All qualified and interested candidates.
10198,All qualified candidates
10199,All qualified candidates
10200,All qualified candidates
10204,All interested candidates
10205,All qualified and interested candidates.
10219,All interested candidates
10222,All interested and qualified candidates.
10224,"All interested and qualified applicants
from Yerevan city and regions."
10225,All interested candidates
10226,All interested professionals.
10234,All qualified candidates
10235,All interested candidates
10236,External and Internal Candidates
10237,All interested candidates
10238,External and Internal Candidates
10248,All eligible candidates
10250,External and Internal Candidates
10257,All qualified candidates
10263,Everyone
10265,All interested candidates
10266,All interested candidates
10268,All qualified candidates.
10269,All qualified and interested candidates.
10270,All qualified candidates.
10271,All qualified candidates
10272,All qualified candidates
10275,"Open to anyone who wants to work as a
journalist in the Caucasus"
10278,All qualified and interested candidates.
10280,All interested candidates
10282,Everyone
10303,Qualified candidates
10318,All interested candidates
10335,All qualified and interested candidates.
10339,All qualified candidates
10343,All qualified candidates
10345,All candidates
10349,All interested and qualified candidates
10351,"Everyone without any age, sex, race,
religion or color discrimination."
10357,Qualified candidates
10359,All qualified individuals.
10360,Qualified candidates
10361,All qualified and interested candidates.
10371,All interested candidates
10373,All qualified candidates
10375,All qualified candidates
10379,All qualified candidates
10380,All qualified candidates
10383,All qualified candidates
10387,Qualified candidates
10388,All qualified and interested candidates.
10397,All interested candidates
10399,Everyone
10406,All interested and qualified candidates.
10414,All interested candidates.
10419,All qualified candidates.
10421,Armenian citizens
10423,All qualified candidates
10424,Everybody
10425,All qualified candidates
10428,All interested candidates
10430,All interested candidates
10431,All qualified candidates.
10435,All interested candidates
10440,Citizens of Republic of Armenia
10466,"Medical doctors with specialization in
Cardiology."
10470,All qualified candidates
10481,All interested candidates
10482,"All eligible, interested and qualified
candidates."
10487,"Professionals who are actively involved
in the legislative process and/or policy-making through their work in
government, civic education organizations, citizen advocacy groups,
political parties, or election monitoring organizations."
10493,Everyone
10494,All interested candidates
10508,All qualified candidates
10509,All qualified candidates
10515,All qualified candidates
10517,Everybody
10518,All interested candidates
10519,All interested candidates
10521,All interested candidates
10523,All interested candidates
10528,Everyone
10529,Everyone
10530,All interested candidates
10532,All interested and qualified candidates.
10533,All interested candidates
10534,All qualified candidates
10543,All qualified candidates
10545,All interested local candidates
10549,All qualified candidates
10550,All qualified candidates
10565,All interested candidates
10579,All qualified and interested candidates.
10582,All qualified candidates
10585,All interested candidates
10591,All interested candidates
10594,All interested candidates
10598,All qualified individuals
10600,All interested candidates
10606,"Professional journalists, public
reporters, citizen journalists, bloggers, representatives from non-profit
organizations."
10609,All qualified candidates
10611,All qualified and interested candidates.
10615,All qualified and interested candidates.
10617,All qualified candidates
10624,All qualified and interested candidates.
10627,All qualified and interested candidates.
10630,All interested candidates.
10635,All eligible candidates
10637,All qualified and interested candidates.
10638,Any appropriate candidate.
10639,All interested candidates
10640,"All interested and qualified candidates,
preferably with the experience of at least 1-2 years."
10644,All interested candidates
10646,All qualified candidates
10653,All interested and qualified candidates
10655,All qualified candidates
10662,All eligible candidates
10663,All eligible candidates
10667,All qualified candidates.
10668,All eligible candidates
10670,All interested candidates
10673,All qualified and interested candidates.
10682,All qualified candidates
10690,All qualified candidates
10691,"Undergraduate (Bachelor's) or graduate
(Master's) students."
10699,All interested candidates
10700,All qualified candidates
10701,All interested candidates.
10702,All qualified candidates
10704,All interested candidates
10718,All interested and qualified candidates.
10720,All interested candidates
10722,All interested candidates
10726,All interested candidates
10727,All qualified and motivated candidates
10728,All interested candidates
10732,Gyumri region inhabitants.
10736,All qualified candidates
10740,All qualified candidates
10749,All interested candidates
10750,All qualified candidates
10754,All qualified candidates
10755,All qualified candidates
10756,Everyone
10757,Any interested candidates
10758,All qualified candidates
10759,All qualified candidates
10760,All qualified candidates
10768,All qualified candidates
10771,All interested candidates
10778,All interested candidates
10785,All qualified and interested candidates.
10789,All qualified and interested candidates.
10793,All qualified candidates
10795,Everyone
10798,All interested candidates
10812,All qualified candidates
10817,All qualified candidates
10822,All interested candidates
10828,All qualified candidates
10831,All qualified candidates
10832,All qualified and interested candidates.
10837,All interested candidates
10841,All eligible candidates
10846,All qualified candidates
10849,All qualified candidates
10855,All interested candidates
10857,All qualified and interested candidates.
10859,All qualified and interested candidates.
10862,All qualified candidates
10869,Everyone
10872,All interested candidates
10874,All interested candidates.
10881,All qualified and interested candidates.
10885,All qualified and interested candidates.
10889,All interested and qualified candidates.
10891,All interested candidates
10896,All interested candidates
10897,All qualified and interested candidates.
10898,Everyone
10908,All qualified candidates
10909,All qualified candidates
10913,All interested candidates
10919,All interested candidates
10926,All qualified candidates
10929,All qualified candidates
10931,All qualified candidates
10932,All qualified candidates
10933,All qualified candidates
10935,All qualified candidates
10937,All qualified candidates
10939,All qualified candidates
10941,All qualified candidates
10945,All qualified candidates
10947,All qualified candidates
10948,All qualified candidates
10949,All interested candidates.
10950,All interested candidates.
10951,All qualified candidates
10953,All qualified candidates
10954,All qualified candidates
10957,All qualified candidates
10958,"All interested candidates, preferably
with advocate license or at lease with the possibility to take the exam
this year."
10959,All qualified candidates
10961,All qualified candidates
10963,All interested candidates.
10964,All qualified candidates
10965,All qualified candidates
10966,All interested and qualified candidates
10968,All interested and qualified candidates.
10969,All interested and qualified candidates.
10972,All qualified candidates
10974,All qualified candidates
10975,All interested and qualified candidates.
10980,All qualified candidates
10983,All qualified candidates
10986,All qualified candidates
10987,All interested candidates
10989,All qualified candidates
10990,All qualified and interested candidates
10991,All interested candidates
10993,All qualified candidates
10994,All interested candidates
10995,All interested candidates
10996,All eligible applicants
10997,All qualified candidates
10998,All interested candidates
10999,All interested candidates
11019,All interested candidates
11021,All interested candidates
11023,All interested candidates
11024,All interested candidates
11025,All interested candidates
11032,All interested candidates
11033,All interested and qualified candidates
11034,All interested candidates
11035,All interested candidates.
11037,All interested and qualified candidates
11038,All qualified candidates
11040,All qualified candidates
11041,Everyone
11042,All interested candidates
11050,All qualified candidates
11055,All qualified candidates
11058,All qualified candidates.
11059,All qualified candidates
11081,All interested candidates.
11083,All qualified candidates
11085,All interested candidates
11094,All qualified candidates
11097,All qualified candidates
11100,All qualified candidates
11101,All qualified candidates
11104,All qualified candidates
11106,All the interested candidates
11108,All interested and qualified candidates
11111,All interested candidates
11113,All qualified candidates
11114,All qualified candidates
11117,All interested candidates
11126,All interested and qualified candidates
11132,All qualified and interested candidates.
11133,All interested candidates
11134,All interested candidates
11135,All qualified candidates
11144,All qualified and interested candidates.
11145,All qualified candidates.
11146,All qualified candidates
11147,All qualified candidates.
11148,All qualified candidates
11149,All qualified candidates.
11152,All interested candidates
11153,All qualified candidates
11154,All interested candidates
11155,Local trainers
11156,All qualified candidates
11159,All qualified and interested candidates.
11161,All qualified and interested candidates.
11162,All qualified and interested candidates.
11163,All qualified and interested candidates.
11165,All interested candidates
11166,All qualified candidates
11167,Everyone
11170,All qualified candidates
11172,All qualified candidates
11173,All qualified candidates
11176,All qualified candidates
11177,Everyone
11184,All qualified candidates
11186,All qualified and interested candidates.
11192,All qualified and interested candidates.
11194,All qualified and interested candidates.
11197,All interested candidates
11198,All qualified and interested candidates.
11200,All interested candidates
11201,All qualified candidates
11215,Citizens of Republic of Armenia
11218,All qualified candidates
11219,All interested candidates
11220,All eligible candidates
11221,All interested candidates
11222,All eligible candidates
11229,All interested candidates
11230,All interested candidates
11231,All interested candidates
11233,All qualified candidates
11236,All qualified candidates
11249,All interested candidates
11252,All qualified candidates
11253,All qualified candidates
11258,All qualified candidates.
11262,All interested candidates
11264,All qualified and interested candidates.
11266,All qualified candidates
11267,All qualified candidates
11271,All qualified candidates
11273,"All eligible candidates should be 18
years old or older."
11276,All interested and qualified candidates
11278,All interested candidates
11279,All qualified candidates
11284,All qualified candidates
11285,All qualified candidates
11286,All qualified candidates
11288,All qualified and interested candidates.
11289,All interested candidates
11292,All qualified candidates
11294,All qualified audience
11299,All qualified audience
11307,All qualified candidates
11312,All qualified candidates
11321,All interested and qualified candidates
11323,All qualified candidates
11325,All qualified candidates
11327,All qualified candidates
11328,All qualified candidates
11334,All qualified candidates
11338,All interested candidates
11339,Everyone
11342,All qualified candidates
11343,All qualified candidates
11344,All qualified candidates
11348,All qualified candidates
11357,All qualified and interested candidates.
11359,All interested candidates
11361,All interested candidates
11362,All qualified candidates
11364,All qualified candidates
11369,"NGOs with relevant experience in the
sphere of education and environment."
11371,All interested and qualified candidates
11378,All interested candidates
11380,All interested candidates
11399,All interested candidates
11401,All qualified and interested candidates.
11404,All interested candidates.
11407,All qualified candidates
11412,"The International School of Economics at
Tbilisi State University (ISET- www.iset.ge) invites applicants for
participation in a 101 Economics Course: Economics for Business and
Decision Making."
11419,All qualified candidates
11420,All qualified candidates
11423,All qualified candidates
11424,All interested candidates.
11425,All qualified candidates
11426,All interested and qualified candidates.
11430,All interested and qualified candidates.
11433,Everyone
11434,All qualified and interested candidates.
11441,All qualified candidates
11447,All interested candidates
11448,All qualified and interested candidates
11450,All interested candidates
11454,All interested candidates
11457,All qualified candidates
11460,All qualified candidates
11463,All qualified candidates
11464,All qualified and interested candidates.
11465,All qualified and interested candidates.
11466,All qualified candidates
11468,All qualified candidates
11470,All qualified candidates
11482,All qualified candidates
11486,All qualified and interested candidates.
11499,All qualified and interested candidates.
11510,All qualified and experienced candidates
11513,All qualified candidates
11515,All qualified candidates
11526,All qualified and interested candidates.
11530,All qualified and interested candidates.
11553,All qualified candidates.
11554,Everyone
11556,All qualified candidates.
11557,Everyone
11558,All qualified candidates
11560,All qualified and interested candidates.
11565,All qualified candidates
11566,All qualified and interested candidates.
11568,All interested candidates
11572,All interested candidates
11573,All qualified candidates
11575,All qualified candidates.
11582,All qualified candidates
11586,All qualified candidates.
11588,All eligible candidates
11589,All qualified candidates
11592,Qualified and interested candidates.
11593,"Self driven, hard working and good team
player people."
11595,"Self driven, hard working and good team
player people."
11597,"All interested applicants with:
- Bachelor's Degree or equivalent; 
- Fluency in English and Russian languages; 
- Professional and/ or research interest in Human rights and
democratization issues; 
- Academic and/ or professional experience in abovementioned fields is an
asset."
11598,"Self driven, hard working and good team
player people."
11600,"For self driven, hard working and good
team player people."
11610,All qualified candidates
11614,All qualified candidates
11619,All interested candidates
11621,To all interested candidates
11625,All interested candidates.
11627,All qualified candidates
11642,Everyone
11644,All qualified candidates
11650,All qualified and interested candidates.
11654,All qualified and interested candidates.
11663,Everyone
11671,"All interested professionals in the
fields of Sociology, Statistics and Quantitative Fieldwork Management."
11672,All qualified and interested candidates
11673,All interested candidates
11674,All interested candidates
11683,All qualified candidates
11685,All qualified and interested candidates.
11693,All qualified candidates.
11696,All qualified candidates.
11698,All qualified candidates.
11712,All qualified candidates
11714,All interested candidates
11716,All qualified candidates
11721,All interested candidates
11722,All qualified candidates.
11723,All qualified candidates.
11735,All qualified candidates
11737,All interested candidates.
11738,All qualified candidates
11739,All qualified candidates
11740,All qualified candidates.
11742,All qualified and interested candidates.
11749,All interested candidates.
11750,All interested and qualified candidates
11752,All qualified candidates
11753,All qualified candidates
11757,All qualified candidates
11763,All interested candidates.
11767,Bright mind and shining eyes.
11774,All qualified candidates
11775,All interested and qualified candidates
11780,All interested and qualified candidates
11784,All interested candidates
11788,"Medical Doctors with specialization in
Cardiology"
11790,All interested candidates
11793,All qualified candidates
11799,Everyone
11804,All qualified candidates
11805,All qualified candidates
11807,All qualified candidates.
11831,All qualified candidates
11834,All qualified and interested candidates.
11837,All qualified candidates
11838,All qualified and interested candidates.
11841,All qualified candidates.
11842,All qualified candidates
11850,All qualified candidates
11855,All qualified and interested candidates.
11861,"All interested professionals in the
fields of Sociology, Statistics and Quantitative Fieldwork Management."
11866,Everyone
11873,All qualified candidates
11874,"Ameriabank is looking for driven,
motivated and enthusiastic young people to join the Team and pass 3
months on-job exclusive training with Ameriabank CJSC top members and
outstanding specialists. Those interns who will complete Generation A
program successfully will be considered for employment in different
unites, departments upon availability of relevant vacancy."
11875,All qualified candidates
11878,All interested and qualified candidates
11906,All qualified and interested candidates.
11910,All qualified and interested candidates.
11918,All interested candidates.
11919,All qualified candidates.
11927,Everyone
11928,All qualified candidates
11930,All qualified candidates
11931,All qualified candidates.
11936,All qualified and interested candidates.
11938,All interested candidates
11939,All interested candidates
11943,All qualified candidates
11950,Everyone
11951,All qualified and interested candidates.
11953,All interested candidates
11955,All interested candidates
11959,All qualified candidates
11960,All qualified and interested candidates.
11963,"Young Economists possessing research
potential and skills."
11988,All qualified and interested candidates.
11993,All qualified candidates
11995,All qualified and interested candidates.
11996,All qualified and interested candidates.
11997,All qualified and interested candidates.
11998,All qualified candidates
12006,All interested candidates
12007,All interested candidates
12012,All qualified and interested candidates.
12013,All qualified candidates
12014,All interested candidates
12023,All qualified candidates.
12025,All qualified and interested candidates
12033,Everyone
12047,All interested candidates
12051,"All interested candidates. New graduate
students are encouraged to apply."
12053,All qualified candidates
12057,All eligible candidates.
12059,All eligible candidates
12061,All qualified candidates
12063,All qualified candidates
12064,All eligible candidates
12069,"All qualified candidates, preferably with
Finance/ Banking/ Telecommunication field experience."
12071,All interested candidates
12085,All qualified candidates
12098,All qualified candidates
12101,All qualified candidates
12109,All qualified candidates
12110,All qualified candidates
12125,All qualified candidates
12132,All qualified and interested candidates.
12139,Gegharkunik region inhabitants.
12155,All Interested Candidates
12156,All qualified candidates
12158,All the ineterested candidates
12173,"All interested candidates aged from 18
and up can apply."
12180,All interested candidates
12182,All interested candidates
12184,All qualified candidates
12201,All the interested candidates
12206,All qualified candidates.
12207,All qualified candidates
12221,All qualified candidates
12222,All qualified candidates
12225,All interested candidates
12250,"All Qualified candidates with eligibility
to work in Yerevan."
12251,Qualified candidates
12252,All eligible candidates
12263,To all interested/ qualified candidates.
12264,All qualified candidates
12276,All qualified candidates
12282,All qualified candidates
12288,All qualified candidates
12289,All qualified candidates
12290,All qualified candidates
12294,All qualified candidates
12295,Everyone
12296,All qualified candidates
12302,"All qualified professionals interested to
work in Information Security domain."
12304,"For self driven, hard working and good
team player people, looking to work for a software development
organization based in USA, with exciting projects in Entertainment,
Travel, E-Commerce and Business applications."
12309,All qualified and interested candidates.
12314,"For self driven, hard working and good
team player people, looking to work for a software development
organization based in USA, with exciting projects in Entertainment,
Travel, E-Commerce and Business applications."
12317,Any qualified candidate.
12319,All qualifying candidates
12320,Any qualified candidate.
12324,"All qualified candidates who meet the
below described minimum requirements."
12329,All interested candidates.
12330,All interested candidates.
12331,All qualified candidates
12333,All qualified candidates
12337,All qualified candidates
12338,All eligible and interested candidates
12342,All eligible and interested candidates
12346,For all interested candidates
12347,All qualified and interested candidates.
12351,All interested candidates
12358,All interested candidates.
12362,All interested candidates
12363,All qualified candidates
12365,All qualified candidates
12370,All the interested candidates.
12371,All the interested candidates
12378,All qualified and interested candidates.
12382,All qualified specialists
12385,All qualified candidates
12386,All qualified accountant candidates.
12388,All qualified candidates.
12393,All interested candidates
12394,All interested candidates
12397,All qualified and interested candidates.
12398,All interested candidates
12399,All qualified and interested candidates.
12404,All qualified and interested candidates.
12405,All qualified and interested candidates
12420,All interested candidates.
12427,All interested and qualified candidates.
12430,Qualified candidates
12436,All interested and qualified candidates.
12442,All the interested candidates
12451,All interested and qualified candidates
12452,All interested and qualified candidates
12454,All interested and qualified candidates
12456,All interested and qualified candidates
12457,All interested and qualified candidates
12458,All interested and qualified candidates.
12460,All interested and qualified candidates
12463,Everyone
12464,All interested candidates
12474,All qualified and interested candidates.
12477,All qualified candidates
12478,All qualified and interested candidates.
12481,To all interested candidates
12484,Everyone
12485,All qualified candidates
12488,"Young professionals from Armenia who are
actively involved in the legislative process and/ or policy-making
through their work in government, civic education organizations, citizen
advocacy groups, political parties, or election monitoring organizations."
12494,All qualified and interested candidates.
12496,All interested and qualified candidates.
12518,All qualified and interested candidates.
12523,All qualified candidates
12534,All qualified candidates
12535,All interested candidates.
12539,All qualified candidates
12547,All eligible candidates
12549,All qualified candidates
12562,All interested candidates
12563,All interested candidates
12570,All interested candidates
12586,All interested candidates
12587,All interested and qualified candidates
12602,Everybody
12608,All qualified candidates
12610,All qualified candidates
12618,Everyone
12621,All qualified candidates
12625,All interested and qualified candidates
12631,All interested and qualified candidates
12634,All qualified candidates
12635,All qualified candidates
12640,All qualified candidates
12643,All interested candidates
12645,All interested and qualified candidates.
12657,All qualified and interested candidates.
12659,All qualified candidates
12666,All eligible and interested candidates
12679,"Open to everyone. Women are encouraged to
participate."
12693,All qualified candidates
12700,All qualified candidates
12705,All interested candidates
12706,All qualified candidates.
12710,All qualified candidates
12711,All qualified candidates
12719,All interested candidates.
12721,All interested candidates
12722,All interested candidates.
12730,All qualified candidates.
12731,All qualified candidates
12734,All interested candidates
12740,All qualified and interested candidates.
12751,Everyone
12763,All interested candidates.
12766,All qualified candidates
12771,All qualified candidates
12782,All qualified candidates
12787,All interested and qualified candidates
12790,All qualified and interested candidates.
12791,All qualified and interested candidates.
12794,All qualified candidates
12796,All qualified candidates
12806,All qualified candidates.
12809,All interested and qualified candidates
12813,All qualified candidates
12816,Everyone
12817,All qualified and interested candidates.
12822,All qualified candidates
12826,All interested candidates
12827,All qualified candidates
12833,All qualified and interested candidates
12837,All qualified candidates.
12844,All qualified candidates
12846,All qualified candidates
12851,All interested and qualified candidates
12854,All qualified candidates
12859,All interested candidates.
12866,All interested candidates.
12867,All interested candidates.
12868,All qualified candidates
12870,"All interested and qualified candidates.
The candidate will be finally approved for the position after a
successful probation period."
12878,All qualified and interested candidates.
12880,All interested candidates
12882,All qualified and interested candidates.
12886,All qualified candidates.
