Position Title,Requisition Number,Division/College,Interdisciplinary Division/College,Location,Full-time_Part-time,Grade,Posting Date,Responsibilities,Qualifications,Additional Information
Part-Time Lecturer: MS in Technical Communications,PTFR000196,College of Professional Studies,College of Professional Studies,Boston Main Campus,Full Time,6,05/16/2014,"Teach graduate courses in the MS in Technical Communications program.  Courses are offered online and are typically 6 or 12 weeks long.  Summer term offerings are 4 or 8 weeks long. 
For a full list of courses, click on the curriculum tab of the following  link: http://www.cps.neu.edu/degree-programs/graduate/masters-degrees/masters-technical-communication.php",Master’s degree and industry experience required. Prior teaching experience required/online teaching experience desirable. Candidates should demonstrate commitment to working with adult learners.,
"PT Lecturer - Biotechnology, Biology and/or Chemistry (San Francisco/Bay Area)",PTFR000423,College of Professional Studies,Not Applicable,Online,Part Time,6,04/03/2018,"Northeastern University is a global, experiential and leading research university, built on a tradition of engagement with business, industry and communities to create a distinctive approach to education, research and service. Northeastern has campuses in Boston, MA, Silicon Valley, CA, Charlotte, NC, Seattle, WA, and Toronto, Canada. We are offering a new suit of Life Sciences programs in San Francisco/Bay Area starting in Fall 2018.
The College of Professional Studies offers flexible, innovative programs that allow working professionals to complete their degrees at night and online. CPS offers bachelor’s degree, certificate programs and post-baccalaureate programs in fast-growing fields such as biotechnology, leadership, finance, project management, business and digital media.
We are looking for multiple, qualified, talented instructors to teach courses in biotechnology, biology and chemistry for our Bachelors Completion Biotechnology Program. Biotechnology courses include: Introduction to Biotechnology, Quality Control and Validation Issues, Proteomics and Genomics, Biomaterials, Biotechnology and Pharmaceutical Processing. Biology courses include: Principles of Biology, Microbiology, Cell Biology, Genetics and Molecular Biology and Biochemistry. Chemistry courses include: General Chemistry, Organic Chemistry and Analytical Chemistry.","Master’s degree required and industry experience preferred. Related certifications or licensures, as well as Doctorate degree preferred. Two or more years college-level teaching experience preferred. Familiarity with Blackboard and/or online teaching experience desirable.","These courses may be taught online or at the San Francisco/Bay Area campus.  
Courses begin every 7.5 weeks with primary starts in September, January, and May. Positions are available contingent upon enrollment, funding and departmental needs. Stipend rates vary per course"
HT - Academic Specialist - Graduate School of Education,PTFR000372,College of Professional Studies,,Boston Main Campus,Full Time,6,03/05/2017,"The College of Professional Studies at Northeastern University invites applications for a non-tenure track half-time faculty position in the Graduate School of Education. This is a 12-month non-tenure track position with annual renewable appointments. Our innovative online professional masters and doctoral programs in education address the increasing need for individuals working in educational settings and other organizational environments to possess graduate level competencies in research, theory and practice. The programs are founded on a model that is committed to rigorous research that acknowledges the realities of practice and to a collaborative approach of resolving complex educational problems. The Graduate School of Education programs share a fundamental assumption that systemic inequity constrains innovation and that education provides a platform from which to work toward and prioritize just and equitable systems.
This is a teaching-focused college, which means that teaching is our primary responsibility and focus. We work primarily online, and we expect that faculty members continually revise and refresh their approaches to help define what good graduate work online looks like. It is not simply content delivery, rather, we focus on the ways the experience of learning and teaching supports dialogue, critical inquiry, and change.
Half-time faculty members in the GSE teach an average of 3 courses across the four-quarter academic year and serve as the Doctoral Dissertation Chair for up to 20 doctoral students. Actual course and dissertation chair loads may vary. In addition half-time faculty members have the opportunity to participate in other GSE and college-level responsibilities, including but not limited to the following:
•	Developing curriculum, course content and materials
•	Service to college in the form of committee work 
•	Participation in faculty meetings and collaborative faculty engagement in projects, program and professional development","•	Terminal degree in Education or related field preferred
•	Understanding of and alignment with the GSE mission and vision
•	Graduate level teaching experience 
•	Demonstrated ability to teach online and advise graduate students at both the master’s and doctoral levels
•	Demonstrated strong capacity to serve as primary Doctoral Dissertation Chair for up to twenty doctoral students. Doctoral students in education at Northeastern University conduct research that has immediate implications for practice and for their particular and local contexts. Our research advising model requires dissertation chairs possess pedagogical and content skills in varied research approaches",
Professor of the Practice - Undergraduate Studies,PTFR000411,College of Professional Studies,,Boston Main Campus,Full Time,6,02/15/2018,"The College of Professional Studies at Northeastern University invites applications for a part-time, non-tenure track Professor of the Practice for the Bachelor of Science in Management in the College of Professional Studies. The position is remote, but based out of our Boston, Massachusetts campus.
This part-time Professor of the Practice is expected to bring her/his intellectual and creative capacity to bear in advancement of the Management Undergraduate program, seeking to serve students by participating in a range of teaching and non-teaching activities that support the advancement of the program. S/he will teach a partial teaching load spread throughout the year and will work with the Senior Assistant Dean on administrative issues and programmatic projects. Actual course load may vary with other responsibilities, which include, but are not limited to:
• Teaching, developing course content and materials, and working with student advising. 
• Participating in the curriculum development and AQA process.
• Making recommendations for additions to, or upgrading of, curriculum, course materials, equipment, and textbooks. 
• Sharing course materials and insights with other faculty members.
• Participating in program and faculty committee meetings, as applicable and needed.
• Keeping current and in contact with local employers and industry regarding appropriateness of course/program content. 
• Participating in faculty recruitment and mentoring. 
• Supporting admissions and recruitment efforts. 
• Mentoring adjunct faculty members
Occasional travel may be required.
This position reports to the Senior Assistant Dean – Academic & Faculty Affairs.","The successful candidate must demonstrate strong teaching abilities and a dedication to continued improvement as an educator. Experience teaching at the master’s level, teaching and developing online courses, and proven success in working with international students are desired attributes.
The successful candidate will have the following qualifications and characteristics:
•S/he must have outstanding and sustained professional accomplishment recognized by peers as having made significant contributions to the business and entrepreneurship fields.
• S/he has an earned doctorate from an accredited institution in business management, organizational development, entrepreneurship or a related field and 10+ years of professional experience. Those whose doctoral programming is nearing completion may be considered.
• S/he should have experience teaching in an online environment and a desire to implement project-based and challenge-based learning approaches.
• S/he should demonstrate a dedication to continued improvement as an educator and a desire to align with the scholar-practitioner model.","This is a non-tenure track, annually renewable position. This position requires a flexible work schedule that includes required evening hours and the possibility of weekend hours. Travel to the University’s Regional Campuses may be required. There may be opportunities to teach overseas."
Part-Time Lecturer - Media and Screen Studies,PTFR000421,"College of Arts, Media and Design",Not Applicable,Boston Main Campus,Full Time,6,02/27/2018,"The Media and Screen Studies Program in the Communication Studies Department at Northeastern University seeks part-time faculty to teach courses on Digital Media Culture, Documentary Production, Film Analysis, Film Theory, Gender and Film, Media and Social Change, Media History, Media Production, Narrative Filmmaking, and Screenwriting.","Ph.D. in Communication or related field required. MFA considered for production offerings. Two or more years of college teaching experience in Media Studies courses preferred. Demonstrated ability to work effectively with students of diverse academic strengths. Start dates: January, May, July, and September. Positions contingent upon enrollment, funding, and departmental needs.","Applicants should submit a letter of application, a curriculum vitae, evidence of teaching effectiveness, and the names and contact information for three references.
Northeastern University particularly welcomes applications from minorities, women and persons with disabilities. Northeastern University is an E-Verify Employer."
Part-Time Lecturer - Art + Design,PTFR000420,"College of Arts, Media and Design",Not Applicable,Boston Main Campus,Full Time,6,02/22/2016,"The Part-Time Lecturer will teach introductory and intermediate courses in art, media, or design fundamentals; drawing, painting, or sculpture; graphic, information, interaction or experience design; animation, video arts, or photography; visual studies or art history; or other undergraduate or graduate courses, as determined by enrollment, funding and departmental needs. 
Salary range: Stipend rate(s) per course. 
Starting dates: January, May, July, and September.","The ideal candidate will have an MFA or equivalent terminal degree and at least two years of successful college teaching experience. Art, media arts and design candidates should have active careers with current exhibition, publication, or creative practice and course related experience. Candidates must have the ability to effectively engage Northeastern students at course relevant levels of study, whether beginning, intermediate or advanced.",
Part-time Lecturer - Theatre,PTFR000419,"College of Arts, Media and Design",Not Applicable,Boston Main Campus,Full Time,6,02/26/2018,"Teach undergraduate courses in the Department of Theatre such as acting for non-majors, voice and presentation, as well as other courses depending on departmental need and enrollments.","Ph.D., M.F.A. or Master’s Degree and extensive professional experience required; previous teaching on the college level is preferred. 
Salary will be at stipend rate.  Starting dates: September and January.",
Part-time Lecturer - Communication Studies,PTFR000418,"College of Arts, Media and Design",Not Applicable,Boston Main Campus,Full Time,6,02/27/2018,"The Communication Studies Department at Northeastern University seeks part-time faculty to teach courses on Advertising, Advocacy Writing, Business and Professional Speaking, Communication and Gender, Communication Criticism, Communication in a Digital Age, Communication Theory, Crisis Communication, Elements of Debate, Global and Intercultural Communication, Health Communication, Interpersonal Communication, Introduction to Communication Studies, Persuasion and Rhetoric, Principles of Organizational Communication, Public Speaking, Research Methods (quantitative), Social Movements, Sound Production for Digital Media, Sports Broadcasting, and Television Production (studio or field).","Ph.D. in Communication or related field required. MFA considered for production offerings. Two or more years of college teaching experience in Communication Studies courses preferred. Demonstrated ability to work effectively with students of diverse academic strengths. Start dates: January, May, July, and September. Positions contingent upon enrollment, funding, and departmental needs.","Applicants should submit a letter of application, a curriculum vitae, evidence of teaching effectiveness, and the names and contact information for three references.
Northeastern University particularly welcomes applications from minorities, women and persons with disabilities. Northeastern University is an E-Verify Employer."
Part-time Lecturer - Music,PTFR000417,"College of Arts, Media and Design",Not Applicable,Boston Main Campus,Full Time,6,02/27/2018,"Part-time Lecturers teach courses in music, particularly in the following areas: Music Theory, including traditional Western music theory and aspects of popular music and jazz; Music Technology, particularly courses in sound design, digital audio and interactive computer programming (i.e., scripting, coding, and/or Max/MSP); Music History, particularly courses in American Music, the Western Classical Tradition, and World Music; and Music Industry, particularly with emphasis in real world experiences and applications, including the music products industry, music copyright law, international issues in the music business, recording technology, the record industry, and digital content distribution; as well as other undergraduate courses, depending on departmental need and enrollment.",PhD is preferred or equivalent professional experience. Previous teaching experience at the college level and a broad knowledge of Humanities is highly desirable.,
Part-time Lecturer - Architecture,PTFR000416,"College of Arts, Media and Design",Not Applicable,Boston Main Campus,Full Time,6,02/27/2018,"The Lecturer will teach introductory courses in architectural drawing, sketching, studio design, computer modeling, architectural history, technology, and project case studies; as well as other undergraduate and graduate courses depending on enrollment, funding, and departmental needs.","Master of Architecture, PhD or equivalent preferred. Salary range: stipend rate per course. Starting dates: September, January, May and July.",
Part-Time Lecturer - Game Design,PTFR000415,"College of Arts, Media and Design",Not Applicable,Boston Main Campus,Full Time,6,02/27/2018,"We seek a part-time lecturer who can teach in undergrad/grad courses in areas of Game Design & Game Science (Analytics). The Game Design program at Northeastern is interdisciplinary and is seeking part-time faculty to be a part of our efforts bridging games, design, creativity, science, and computing. Applicants are expected to be specialized in one or more areas within the medium: game analytics, game user research, game design, game criticism, player psychology, game programming. We seek instructors that facilitate meaningful learning of the course outcomes in the curriculum and proactively support all facets of the learning environment. You will provide education through learning-centered instruction that will enable graduates to fulfill the evolving needs of the marketplace. At Northeastern we encourage a culture of learning that values mutual responsibility and respect, life-long learning, diversity and ethics as well as personal and professional development. Courses are dependent upon enrollment, funding and program needs. Salary range: stipend rate(s) per course. Starting dates September and January.","We expect successful candidates to demonstrate a strong commitment to and excellent record in teaching in any of the core areas of game design and science, including (but not limited to) game design, prototyping, game scripting, animation, and interface design.
Applicants must have an MFA or a PhD in game design or related areas.",
Part-time Lecturer - Journalism,PTFR000414,"College of Arts, Media and Design",Not Applicable,Boston Main Campus,Full Time,6,02/26/2018,"Teach undergraduate or graduate courses in one or more of the following fields:  Print/Media, Broadcast Journalism, Public Relations, Data Visualization, and other courses dependent on enrollments, need, and funding.","Master’s degree or terminal degree in the field and minimum of 5 years of professional experience required. Start dates: fall, spring and summer sessions.  Salary: Stipend rate per course.",
Postdoctoral Research Associate,STFR004398,College of Engineering,,Boston Main Campus,Full Time,10,03/02/2018,"The Bajpayee lab at Northeastern University in Boston is looking for a PhD (in chemical engineering/chemistry) with expertise in chemical conjugation, peptide design and synthesis, particle formulation, drug delivery and animal studies. This postdoctoral associate will design peptide based nanocarriers, independently carry out drug conjugation, model transport properties in tissue culture models, examine the pharmacokinetics, biodistribution and tissue targeting efficacy of protein drugs in injury induced animal models of osteoarthritis. Prior experience in orthopedic labs and in-vivo models is desired but not necessary. This is an ideal position for someone looking for experience in translational research to train for both academia and industry jobs.",Must have a Ph.D. or equivalent; be able to undertake substantially full-time research or scholarship; work under the supervision of a senior scholar.,
PT Lecturer (on-line) - GSE (Canadian Applications),PTFR000412,College of Professional Studies,,Online,Part Time,6,02/26/2018,"The College of Professional Studies at Northeastern University invites Canadian applications for a non-tenure track part time faculty lecturer in the Graduate School of Education.  Our innovative graduate programs address the increasing need for individuals working in educational settings and other learning environments to possess graduate level competencies in theories and practice. This is a scholar-practitioner program that integrates problems of practice with rigorous academic research in specialized areas designed to prepare individuals to effect change in their organizations and society.
The College seeks faculty working remotely who have the ability to teach and advise graduate student adult learners at both the masters and doctoral level in education. Actual course load may vary with either teaching and/or student advising associated with supporting our graduate programs in Education.",The position requires a doctorate in education or related field; doctoral advising experience; and preferred expertise in virtual/online teaching in curriculum leadership and/or teaching and learning.,
Professor of the Practice - Graduate Studies,PTFR000387,College of Professional Studies,,Boston Main Campus,Full Time,6,08/11/2017,"The College of Professional Studies at Northeastern University invites applications for a part-time, non-tenure track Professor of the Practice for the Security Programs in the College of Professional Studies. The position is remote, but based out of our Boston, Massachusetts campus.
This part-time Professor of the Practice is expected to bring her/his intellectual and creative capacity to bear in advancement of the security programs, seeking to serve students by participating in a range of teaching and non-teaching activities that support the advancement of the program. S/he will teach a partial teaching load spread throughout the year and will work with the Associate Dean on administrative issues and programmatic projects. Actual course load may vary with other responsibilities, which include, but are not limited to:
• Teaching, developing course content and materials, and working with student advising. 
• Participating in the curriculum development and monitoring process.
• Making recommendations for additions to, or upgrading of, curriculum, course materials, equipment, and textbooks. 
• Sharing course materials and insights with other faculty members.
• Participating in program and faculty committee meetings, as applicable and needed.
• Keeping current and in contact with local employers and industry regarding appropriateness of course/program content. 
• Participating in faculty recruitment and mentoring. 
• Supporting admissions and recruitment efforts. 
• Mentoring adjunct faculty members
Occasional travel may be required.
This position reports to the Associate Dean of Graduate Academic and Faculty Affairs.","The successful candidate must demonstrate strong teaching abilities and a dedication to continued improvement as an educator. Experience teaching at the master’s level, teaching and developing online courses, and proven success in working with international students are desired attributes.
The successful candidate will have the following qualifications and characteristics:
•S/he must have outstanding and sustained professional accomplishment recognized by peers as having made significant contributions to the security field.
• S/he has an earned doctorate from an accredited institution either in project management or a related field and 10+ years of professional experience. Those whose doctoral programming is nearing completion may be considered, but higher priority will be given to those who have completed their doctoral degree. 
• S/he should demonstrate an understanding of the broader security community and the range of maturity levels of organizations.
• S/he should have experience teaching at the master’s level and teaching in an online environment
• S/he should demonstrate a dedication to continued improvement as an educator and a desire to align with the scholar-practitioner model
It is highly desirable that candidates have a track record of presenting to professional Interest Groups, and other Industry groups on security topics.","This is a non-tenure track, annually renewable position. This position requires a flexible work schedule that includes required evening hours and the possibility of weekend hours. Travel to the University’s Regional Campuses may be required. There may be opportunities to teach overseas."
Part-Time Lecturer: Balfour Academy Summer Program,PTFR000233,College of Professional Studies,College of Professional Studies,Boston Main Campus,Full Time,6,02/12/2018,"Balfour Academy at Northeastern University was founded in 1983. Balfour helps Boston students obtain the skills and confidence necessary to succeed in college. To reach this goal, Balfour Academy provides a summer program of enrichment courses to supplement each student’s regular school program.
We are seeking certified teachers to teach courses for Balfour Academy’s summer program starting July 2, 2018 through August 10, 2018 in one of the following content areas:
• Decision Making 7-9th Grade
• Science 7-9th Grade
• English 7-9th Grade
• Math 7-9th Grade 
• Physical Education 7-9th Grade
• Math 10-12th Grade SAT
• English 10-12th Grade SAT 
• Sociology
• Critical Thinking
• (Possibly Coding Teacher)
Responsibilities include, but are not limited to:
• Create appropriate curriculum and activities
• Assign and correct daily written work
• Assist students in improving skills
• Coordinate and supervise teaching assistants.
• Attend afternoon faculty workshops and weekly staff meetings
• Assist Director and Assistant Director with mid-term and final evaluations of students
• Contact students’ parents to discuss performance as necessary
• Other duties as assigned",Bachelor’s Degree (Master’s preferred) in teaching inner-city students between grades 7 through 12.,"Position is from July 2, 2018 to August 10, 2018.  
Criminal background checks are required as part of the hiring process."
Part-Time Lecturer,PTFR000334,School of Law,,Online,Part Time,6,02/07/2018,"Northeastern University School of Law seeks part-time lecturers to teach online courses including but not limited to Employment Law, Health Law, Business Law, Compliance, and Legal Studies in its Master of Legal Studies Program:
 (http://www.northeastern.edu/law/academics/mls/)","A Juris Doctor is required, as well as a strong record of academic and professional achievement, preferably with expertise and experience in practice and teaching in the particular field for which you are applying. Salary is competitive with similar institutions.",
"Assistant Teaching Professor, Math",FTFR001066,College of Professional Studies,,Boston Main Campus,Full Time,6,01/31/2018,"The College of Professional Studies at Northeastern University’s innovative first-year college program, Foundation Year, addresses the issue of college persistence by helping students transition from high school to college and adjust to the expectations of college work and culture.  The model integrates a full-year of college level, credit-bearing courses with career exploration and social and academic preparedness in a full day schedule. Students in the cohort program pursue a rigorous college curriculum, receive wrap-around student support, and benefit from an experiential approach to learning. The ten-month program is designed to fulfill the first year course requirements of either an associate’s or bachelor’s degree.
The College seeks a non-tenure track faculty who will teach a full-time load with a focus on first-year Mathematics courses, such as College Algebra, Pre-Calculus, Calculus 1, Calculus 2, Statistics, and Programming.  The position works closely with a team of full-time program faculty and student advising staff dedicated to the academic and personal achievement of the cohort of students. Actual course load may vary with other responsibilities associated with advising or other tasks associated with the program. Responsibilities include:  ensure a quality, high-level experience for students, especially students entering college with a wide range of math experience and proficiency; evaluate course content and materials and ensure appropriate fit with program objectives; continuously review curriculum and specific course content to ensure currency; advise and mentor students; and provide content related support to students.",This position requires a commitment to teaching excellence and demonstrated success teaching underprepared and first generation college students.  A Master’s degree appropriate to teaching mathematics is required and a terminal degree is preferred.  The ideal candidate would have proven success teaching math in innovative and engaging ways that re­engage students who have traditionally struggled with math and may have skill gaps.,
Postdoctoral Research Assoc,STFR004346,College of Engineering,Not Applicable,Boston Main Campus,Full Time,10,02/02/2018,"The Department of Mechanical & Industrial Engineering is seeking a Postdoctoral Research Associate to work in the Interfaces Engineering Laboratory located in 164 Egan Research Center. The Postdoctoral Research Associate performs basic or applied research of a limited scope, primarily using existing theories and methods. Assists the supervisor in the interpretation and publication of results and grants. Maintains the laboratory and may exercise functional supervision over supporting research staff. Primary responsibility is ensuring that the research is complete. The appointment generally does not extend beyond two years.","Must have a Ph.D. or equivalent; be able to undertake substantially full-time research or scholarship; work under the supervision of a senior scholar. The successful candidate is expected to work on classical molecular dynamics simulations of surface diffusion of metallic materials, and possibly some augmenting quantum mechanics calculations. Prior experience of molecular dynamic simulations is required.",
Part-Time Lecturer,PTFR000294,College of Social Sciences and Humanities,,Boston Main Campus,Full Time,6,01/25/2018,"Teach undergraduate courses for minor in Law & Public Policy, such as, but not limited to: Introduction to Law; Introduction to Law & Public Policy; Global Human Rights; Special Topics in Law & Public Policy.  Teaching will be on ground in a traditional classroom.
Please note teaching experience and subject matter expertise in cover letter.
Generally, positions are available depending upon enrollments, funding and departmental needs.",Must have terminal degree in a related field.,Please submit resume and cover letter expressing your interest in response to this post
Assistant/Associate/Full Teaching Professor and Program Director in Applied Mathematics,FTFR001070,College of Science,,Boston Main Campus,Full Time,6,01/11/2018,"The Department of Mathematics at Northeastern University invites applications for a Non-Tenure Track position of Teaching Professor and Program Director in Applied Mathematics to lead the progress and growth of the Department’s Professional Master’s program in Applied Mathematics to start as early as July of 2018.
The successful applicant will have the knowledge to develop and teach Applied Mathematics and Statistics courses at the Master’s level, and will have the ability and vision to scale the program beyond its current reach.  The person in this position reports to the Chair of the Department of Mathematics and works closely with the Dean’s Office in the College of Science in order to partner for efficiencies in marketing and operational direction.
Responsibilities include:
1. Teaching:  Teach 4 courses per academic year in the Applied Mathematics program.
2. Program Development:  Work on growing the enrollment in the Department’s Professional Master’s program in Applied Mathematics. Work with the Chair of the Department and the Dean’s Office to expand the range of tracks which are offered within the Master’s Degree Program. Work with the Assistant Dean for Graduate Administration on interpreting market needs and translating those needs into scalable programs. Partner with the university’s Professional Advancement Network to assess current and proposed academic offerings to maximize enrollment. Develop stackable components which can be used to serve specialized needs of students outside the program.
3. Program Administration: Hire Part-time Faculty to teach within the program.  Work with College of Science Dean’s Office on branding and communications.  Collaborate with the Mathematics Department Graduate Administrative Secretary on admissions to Applied Mathematics Programs. Partner with the Mathematics Department Graduate Co-op Coordinator on promoting the Co-op Program in Applied Mathematics and Statistics. Manage the budget of program.
4. Other duties include academic advising, course development, online course conversion, etc.","Candidates must have a Ph.D. in Mathematics or a related field, preferably with a focus on Applied Mathematics, Statistics, or Numerical Analysis.
Teaching experience, initiative, strong communication and teamwork skills are expected.
Qualified candidates should be committed to fostering diverse and inclusive environments as well as to promoting experiential learning, which are central to a Northeastern University education.",
PT Lecturer Strategic Intelligence Analysis,PTFR000367,College of Professional Studies,,Boston Main Campus,Full Time,6,01/06/2017,"The College of Professional Studies at Northeastern University invites applications for a part-time faculty position to teach on-campus or online graduate-level courses for the Master of Arts Degree in Strategic Intelligence and Analysis and/or graduate certificate programs in Homeland Security. Instructional areas will focus on core elements of strategic intelligence analysis at the graduate level, including  psychology of intelligence analysis, intelligence operations management, globalization and intelligence issues, intelligence analysis and policy relationship, interagency collaboration, all source intelligence, human intelligence, analysis for counterterrorism, culture and psychology, law and psychology, and intelligence collection. These could include, but are not limited to, using research in psychology and case studies to develop an interdisciplinary viewpoint and approach to both security and intelligence analysis, understanding the conceptual design of the operation from both a strategic and tactical perspectives, exploring the key themes that are currently developing within international intelligence liaison relationships and understanding the importance of explanation and evidence in order to provide policymakers with the most useful intelligence information.","Candidates must have a Master’s degree in a related field (doctorate strongly preferred) plus at least five years of industry or governmental experience. A history of successful teaching at the graduate level is strongly preferred. Other qualifications and expertise also considered. On-ground candidates must be able to commit to teaching on campus in Boston or Burlington at least one night a week for an entire academic quarter (see additional information below). Preferred qualifications include an active clearance secret acceptable, TS/SCI preferred.","This is a part-time, non-benefits eligible, non-tenure track renewable position. Courses are offered in online, on-campus, and blended formats. Courses are 12-weeks in duration (8 weeks in the summer). The classes begin in September, January, April, and July. Positions are available contingent upon enrollment, funding, and departmental needs. Stipend rates per course."
Part-Time Lecturer MPS in Geographic Information Technology,PTFR000186,College of Professional Studies,College of Professional Studies,,Part Time,6,01/11/2018,"Northeastern University’s College of Professional Studies invites applications for a part-time, non-tenured faculty position in its Master of Professional Studies in Geographic Information Technology. Applicants will be reviewed on a rolling basis, with alignments to quarterly start dates in September, January, April, and July. The program is presently offered entirely online, although applicants in the Boston, MA, Charlotte, NC and Seattle WA areas are strongly encouraged to apply. The curriculum emphasizes leadership and management, geospatial intelligence, cartographic principles and database development and remote sensing.
Responsibilities of the position include: 
Teaching one or more 8 (Summer term) or 12 week (Fall, Winter and Spring) asynchronous online courses per academic year. This includes pre-term course development (including weekly readings, assignments, and multi-media lectures), and in-term commitments of monitoring online discussion boards, general course management, grading, and online presence of at least one hour per day, five days a week at the instructor’s schedule. The courses are asynchronous, and although near daily participation is a must, an exact time is not required. Training in Blackboard (the online course platform) will be provided.","Applicants must have earned a minimum of master’s degree in a related field (e.g., mobile GIS, app development, big data infrastructure geospatial links, cloud computing and virtualization, sensor webs, GeoINT and FOSS) with a track record of practical applications or teaching in areas of Geographic Information Sciences (GIS). A terminal degree is preferred, as well as additional certifications. The successful candidate should demonstrate outstanding teaching competence and have substantial professional experience in GIS. Applicants with GeoINT and FOSS GIS expertise are encouraged to apply.",
Postdoctoral Research Assoc,STFR004288,College of Science,,Boston Main Campus,Full Time,10,01/08/2018,"Performs basic or applied research of a limited scope, primarily using existing theories and methods. Assists the supervisor in the interpretation and publication of results and grants.  Maintains the laboratory and may exercise functional supervision over supporting research staff.  Primary responsibility is ensuring that the research is complete.  The appointment generally does not extend beyond two years.","Must have a Ph.D. in neuroscience, physics, engineering, computer science, or biology; be able to undertake substantially full-time research or scholarship; work under the supervision of a senior scholar.
Candidates must have basic proficiency in all the following areas and documented advanced proficiency in at least one:
(1)	optical microscopy
(2)	C. elegans genetics
(3)	experimental hardware design
(4)	computer vision
(5)	statistics
(6)	management of collaborative projects",This appointment is funded by an award received from an outside source. The duration of this position is contingent upon the continued availability of funding from this award at its current financial level.
Part-Time Lecturer - Homeland Security,PTFR000170,College of Professional Studies,College of Professional Studies,Boston Main Campus,Full Time,6,09/23/2016,"The College of Professional Studies at Northeastern University invites applications for a part-time faculty position to teach on-campus  or online graduate-level courses for the Master of Arts Degree in Homeland Security and/or graduate certificate programs in Homeland Security. Instructional areas will focus on core elements of homeland security and emergency management at the graduate level, including management skills, intelligence gathering and analysis, risk management, emergency planning and management, legal issues, technological issues and social psychology. These could include, but are not limited to, examining all aspects of the disaster cycle, understand the nature and sources of threats to social, political, and economic systems as well as developing critical communication skills and techniques related to the public and media and utilizing geographic information technologies to gather and analyze relevant data.  A list of courses can be found by  clicking on the “curriculum tab” of the following link: 
http://www.cps.neu.edu/degree-programs/graduate/masters-degrees/masters-homeland-security.php",Candidates must have a Master’s degree in a related field (doctorate strongly preferred) plus at least five years of industry or governmental experience. A history of successful teaching at the graduate level is strongly preferred. Other qualifications and expertise also considered.  On-ground candidates must be able to commit to teaching on campus in Boston at least one night a week for an entire academic quarter (see additional information below).,"This is a part-time, non-benefits eligible, non-tenure track renewable position. Courses are offered in online, on-campus, and blended formats. Courses are typically 12-weeks in duration (8 weeks in the summer) with a few each year held as 6-week intensives. The majority of classes begin in September, January, April, and July. Positions are available contingent upon enrollment, funding, and departmental needs. Stipend rates per course."
Assistant/Associate/Full Professor of Human Movement Neuroscience,FTFR001023,College of Science,,Boston Main Campus,Full Time,6,10/12/2017,"A tenure-track position is open in Movement Science in the Department of Biology, (http://www.northeastern.edu/cos/biology/), in the College of Science at Northeastern University. The position is open for applicants from the Assistant to the Full Professor rank. The candidate’s research can be in the areas of computational, experimental or clinical neuroscience, as well as in neuroengineering with a possible bridge to prosthetics and robotics. This position is part of a growing university-wide cluster in the science of human movement, spanning research strengths from basic computational and experimental research to rehabilitation science, robotics and neuroengineering. Priority will be placed on research strengths that complement existing strengths in computational human movement science, brain mapping, neurophysiology, neural regeneration, and control theory, although excellence is of top-most priority. Depending on the research profile, appointments have the potential to be joint with Bioengineering, Electrical and Mechanical Engineering, or Physical Therapy and Rehabilitation Sciences. The anticipated start date is Fall Semester, 2018.
Responsibilities will include conducting an independent, externally funded research program, teaching undergraduate and graduate courses, and participating in departmental, college and university service. Review of applications will begin immediately and will continue until the position is filled.
The Department of Biology is strongly interdisciplinary, with 20 tenured and tenure-track faculty in Biology and an additional 9 faculty with joint appointments in other departments. The department administers programs in the College of Science at Northeastern University for 1,200 undergraduates, and 100 students in Ph.D., Masters, and Professional Masters programs.  Grounded in its signature co-op program, Northeastern provides unprecedented global experiential learning opportunities. The College is strongly committed to fostering excellence through diversity and enthusiastically welcomes nominations and applications from members of groups that have been, and continue to be, underrepresented in academia.
Northeastern University occupies a vibrant 67-acre campus in the heart of Boston, surrounded by other leading educational, health care, technological, and research institutions, as well as world-renowned venues for art and music.","Applicants must have a PhD in the life sciences or engineering, including neuroscience, neurophysiology, physical medicine, bioengineering, electrical or mechanical engineering, physical therapy, kinesiology, rehabilitation sciences, or other related disciplines. All applicants should have a strong record of scholarly accomplishment that demonstrate research productivity and the ability to perform cutting edge research. Candidates seeking appointment at the associate or full professor level should have substantial research productivity and a history of grant support and academic service. Qualified candidates should have experience in, or be able to demonstrate a commitment to, working with diverse student populations and/or in a culturally diverse work and educational environment.",
